year,ikt_ID,jkt_ID,ijkt_ID,i2jkt_ID,exposure,count
2002,1,217,1,1,1,0
2002,1,263,2,2,300,0
2002,1,487,4,4,297,1
2002,1,779,6,6,148,0
2002,1,1322,7,7,306,0
2002,1,1835,10,10,292,1
2002,1,1975,12,12,520,2
2002,1,2043,14,14,52,0
2002,1,2086,15,15,1,0
2002,1,2987,17,17,301,0
2002,1,3220,19,19,306,0
2002,1,3349,21,21,5,0
2002,1,3357,22,22,290,0
2002,4,217,25,25,1,0
2002,4,263,26,26,304,0
2002,4,487,28,28,300,0
2002,4,779,31,31,153,0
2002,4,1322,33,33,310,0
2002,4,1835,36,36,296,1
2002,4,1975,39,39,530,0
2002,4,2043,41,41,52,0
2002,4,2086,42,42,1,0
2002,4,2987,45,45,305,0
2002,4,3220,47,47,308,0
2002,4,3349,49,49,5,0
2002,4,3357,50,50,294,0
2002,141,263,2541,2605,232,0
2002,141,487,2556,2620,224,0
2002,141,779,2597,2661,122,0
2002,141,1322,2659,2723,230,0
2002,141,1835,2696,2760,219,0
2002,141,1975,2722,2786,443,0
2002,141,2987,2800,2864,224,0
2002,141,3220,2809,2873,220,0
2002,141,3349,2815,2879,3,0
2002,141,3357,2817,2881,213,0
2002,217,1,1,3913,1,0
2002,217,4,25,3914,1,0
2002,217,261,3818,3930,1,0
2002,217,263,3819,3931,305,0
2002,217,320,3821,3933,1,0
2002,217,372,3822,3934,1,0
2002,217,487,3824,3936,301,0
2002,217,516,3826,3938,1,0
2002,217,746,3829,3941,1,0
2002,217,779,3843,3955,153,0
2002,217,875,3851,3963,1,0
2002,217,918,3853,3965,1,0
2002,217,1158,3863,3975,1,0
2002,217,1322,3865,3977,311,1
2002,217,1354,3874,3986,1,0
2002,217,1734,3905,4017,1,0
2002,217,1790,3912,4024,1,0
2002,217,1826,3925,4037,1,0
2002,217,1835,3927,4039,297,1
2002,217,1975,3934,4046,531,1
2002,217,2043,3936,4048,53,0
2002,217,2086,3944,4056,2,0
2002,217,2173,3946,4058,1,0
2002,217,2284,3947,4059,1,0
2002,217,2495,3958,4070,1,0
2002,217,2763,3962,4074,1,0
2002,217,2913,3963,4075,1,0
2002,217,2923,3964,4076,1,0
2002,217,2937,3966,4078,1,0
2002,217,2969,3969,4081,1,0
2002,217,2983,3970,4082,1,0
2002,217,2987,3971,4083,306,1
2002,217,3220,3980,4092,309,2
