year,ikt_ID,jkt_ID,ijkt_ID,i2jkt_ID,exposure,count
2002,1,625,1,1,52,0
2002,73,625,524,560,52,0
2002,191,625,1016,1230,52,0
2002,279,625,1363,1733,52,0
2002,384,625,1786,2270,52,0
2002,540,625,2304,3259,52,1
2002,567,625,2325,3326,52,0
2002,625,1,1,3695,52,0
2002,625,73,524,3696,52,0
2002,625,191,1016,3697,52,0
2002,625,279,1363,3698,52,0
2002,625,384,1786,3699,52,0
2002,625,540,2304,3700,52,0
2002,625,567,2325,3701,52,0
2002,625,640,2506,3702,52,0
2002,625,902,2507,3703,52,0
2002,625,946,2508,3704,52,0
2002,640,625,2506,3852,52,4
2002,902,625,2507,5357,52,0
2002,946,625,2508,5689,52,0
2003,74,192,480,516,9,0
2003,74,568,516,552,25,0
2003,74,641,525,561,28,0
2003,192,74,480,1182,9,0
2003,192,568,1006,1220,34,0
2003,192,641,1017,1231,37,0
2003,192,947,1043,1257,9,0
2003,280,568,1362,1732,25,0
2003,385,568,1785,2269,25,0
2003,541,568,2303,3258,25,0
2003,568,74,516,3302,25,0
2003,568,192,1006,3313,34,0
2003,568,280,1362,3318,25,0
2003,568,385,1785,3323,25,0
2003,568,541,2303,3325,25,0
2003,568,641,2326,3327,53,0
2003,568,903,2328,3329,25,0
2003,568,947,2334,3335,25,0
2003,641,74,525,3774,28,0
2003,641,192,1017,3797,37,0
2003,641,568,2326,3834,53,0
2003,641,947,2558,3880,28,0
2003,903,568,2328,5356,25,0
2003,947,192,1043,5647,9,0
2003,947,568,2334,5677,25,0
2003,947,641,2558,5691,28,0
2004,75,110,470,506,22,0
2004,75,193,481,517,81,6
2004,75,307,492,528,10,0
2004,75,569,517,553,76,0
2004,75,642,526,562,20,0
2004,75,948,560,596,69,0
2004,110,75,470,680,22,0
2004,110,193,637,684,83,6
2004,110,307,640,687,12,0
2004,110,569,643,690,78,2
2004,110,642,646,693,22,0
2004,110,948,650,697,71,12
2004,193,75,481,1183,81,5
2004,193,110,637,1190,83,6
2004,193,307,992,1206,71,6
2004,193,569,1007,1221,137,7
2004,193,642,1018,1232,81,1
2004,193,948,1044,1258,130,2
2004,307,75,492,1852,10,0
2004,307,110,640,1860,12,0
2004,307,193,992,1876,71,4
2004,307,569,1465,1901,66,2
