year,ikt_ID,jkt_ID,ijkt_ID,i2jkt_ID,exposure,count
2002,1,1222,2,2,1,0
2002,1,1872,4,4,5,0
2002,206,1222,1349,1434,1,0
2002,206,1872,1371,1456,5,0
2002,343,1222,1952,2174,1,0
2002,343,1872,1965,2187,5,0
2002,494,1222,2705,3144,1,0
2002,494,1872,2717,3156,5,0
2002,561,1198,3044,3558,52,0
2002,733,1198,3822,4749,52,0
2002,783,1222,4042,5049,1,0
2002,783,1872,4056,5063,5,0
2002,1040,1222,5019,6971,1,0
2002,1040,1872,5046,6998,5,0
2002,1070,1222,5081,7081,1,0
2002,1070,1872,5094,7094,5,0
2002,1198,561,3044,7850,52,0
2002,1198,733,3822,7851,52,0
2002,1198,1222,5395,7852,53,0
2002,1198,1333,5396,7853,52,0
2002,1198,1600,5397,7854,52,0
2002,1198,1691,5398,7855,52,1
2002,1198,1712,5399,7856,52,0
2002,1198,1726,5400,7857,52,0
2002,1198,1872,5401,7858,54,0
2002,1222,1,2,7993,1,0
2002,1222,206,1349,7994,1,0
2002,1222,343,1952,7995,1,0
2002,1222,494,2705,7996,1,0
2002,1222,783,4042,7997,1,0
2002,1222,1040,5019,7998,1,0
2002,1222,1070,5081,7999,1,0
2002,1222,1198,5395,8001,53,0
2002,1222,1265,5425,8002,1,0
2002,1222,1733,5426,8003,1,0
2002,1222,1823,5427,8004,1,0
2002,1265,1222,5425,8353,1,0
2002,1265,1872,5581,8382,5,0
2002,1333,1198,5396,8746,52,0
2002,1600,1198,5397,10503,52,0
2002,1691,1198,5398,11014,52,0
2002,1712,1198,5399,11177,52,0
2002,1726,1198,5400,11251,52,0
2002,1733,1222,5426,11283,1,0
2002,1733,1872,6170,11289,5,0
2002,1823,1222,5427,11946,1,0
2002,1823,1872,6216,11963,5,0
2002,1872,1,4,12177,5,0
2002,1872,206,1371,12178,5,0
2002,1872,343,1965,12179,5,0
2002,1872,494,2717,12181,5,0
2002,1872,783,4056,12182,5,0
2002,1872,1040,5046,12183,5,0
2002,1872,1070,5094,12184,5,0
2002,1872,1198,5401,12186,54,0
2002,1872,1265,5581,12187,5,0
2002,1872,1733,6170,12188,5,0
2002,1872,1823,6216,12189,5,0
2003,2,791,1,1,37,0
2003,2,1713,3,3,113,0
2003,4,207,36,36,6,0
2003,4,344,49,49,6,0
2003,4,495,56,56,6,0
2003,4,784,60,60,6,0
2003,4,1041,83,83,6,0
2003,4,1071,85,85,6,0
2003,4,1266,93,93,6,0
2003,4,1734,155,155,6,0
2003,4,1824,156,156,6,0
2003,81,207,532,541,13,0
2003,81,344,535,544,13,0
2003,81,495,549,558,13,0
2003,81,784,560,569,13,0
2003,81,1041,581,590,13,0
2003,81,1071,582,591,38,0
2003,81,1266,589,598,13,0
2003,81,1734,606,615,13,0
2003,81,1824,609,618,13,1
2003,207,4,36,1373,6,0
2003,207,81,532,1378,13,0
2003,207,438,1306,1391,1,0
2003,207,513,1323,1408,1,0
2003,207,646,1331,1416,3,0
2003,207,713,1334,1419,38,0
2003,207,791,1335,1420,37,0
2003,207,793,1336,1421,6,0
2003,207,1078,1337,1422,135,1
2003,207,1364,1353,1438,43,0
2003,207,1367,1354,1439,11,0
2003,207,1701,1363,1448,93,0
2003,207,1713,1364,1449,113,0
2003,207,1714,1365,1450,22,0
2003,344,4,49,2132,6,0
2003,344,81,535,2133,13,0
2003,344,438,1923,2145,10,0
2003,344,513,1933,2155,10,0
2003,344,646,1942,2164,12,1
2003,344,713,1943,2165,38,0
2003,344,791,1944,2166,37,0
2003,344,793,1945,2167,6,0
2003,344,1078,1948,2170,135,5
2003,344,1364,1954,2176,43,0
2003,344,1367,1955,2177,11,0
2003,344,1701,1958,2180,93,0
2003,344,1713,1959,2181,113,0
2003,344,1714,1960,2182,31,0
2003,344,1873,1966,2188,3,0
2003,438,207,1306,2757,1,0
2003,438,344,1923,2777,10,0
2003,438,495,2425,2793,1,0
2003,438,784,2435,2803,1,0
2003,438,1041,2440,2808,1,0
2003,438,1071,2441,2809,1,0
2003,438,1266,2454,2822,29,0
2003,438,1734,2468,2836,1,0
2003,438,1824,2483,2851,1,0
2003,495,4,56,3121,6,0
2003,495,81,549,3123,13,0
2003,495,438,2425,3128,1,0
2003,495,513,2690,3129,1,0
2003,495,713,2691,3130,38,0
2003,495,791,2697,3136,37,0
2003,495,793,2699,3138,6,0
2003,495,1078,2701,3140,135,0
2003,495,1364,2706,3145,43,0
2003,495,1367,2707,3146,11,0
2003,495,1701,2712,3151,93,0
2003,495,1713,2713,3152,113,0
2003,495,1714,2714,3153,1,0
2003,513,207,1323,3241,1,0
2003,513,344,1933,3259,10,0
2003,513,495,2690,3272,1,0
2003,513,784,2808,3280,1,0
2003,513,1041,2813,3285,1,0
2003,513,1071,2814,3286,1,0
2003,513,1266,2823,3295,29,0
2003,513,1734,2834,3306,1,0
2003,513,1824,2846,3318,1,0
2003,646,207,1331,4170,3,0
2003,646,344,1942,4173,12,0
2003,646,1071,3466,4216,3,0
2003,646,1266,3469,4219,3,0
2003,646,1824,3490,4240,3,1
2003,713,207,1334,4657,38,0
2003,713,344,1943,4661,38,0
2003,713,495,2691,4664,38,0
2003,713,784,3757,4683,38,0
2003,713,1041,3790,4716,38,0
2003,713,1071,3805,4731,38,0
2003,713,1266,3806,4732,66,0
2003,713,1734,3817,4743,38,0
2003,713,1824,3820,4746,38,0
2003,734,1071,3821,4748,25,0
2003,784,4,60,5022,6,0
2003,784,81,560,5024,13,0
2003,784,438,2435,5030,1,0
2003,784,513,2808,5031,1,0
2003,784,713,3757,5032,38,0
2003,784,791,4033,5040,37,0
2003,784,793,4035,5042,6,0
2003,784,1078,4037,5044,135,0
2003,784,1364,4043,5050,43,1
2003,784,1367,4044,5051,11,0
2003,784,1701,4050,5057,93,0
2003,784,1713,4051,5058,113,0
2003,784,1714,4052,5059,1,0
2003,791,2,1,5064,37,0
2003,791,207,1335,5065,37,0
2003,791,344,1944,5066,37,0
2003,791,495,2697,5067,37,0
2003,791,784,4033,5069,37,0
2003,791,1041,4057,5071,37,0
2003,791,1071,4059,5073,62,0
2003,791,1266,4060,5074,37,0
2003,791,1734,4061,5075,37,0
2003,791,1824,4063,5077,37,0
2003,793,207,1336,5078,6,0
2003,793,344,1945,5079,6,0
2003,793,495,2699,5080,6,0
2003,793,784,4035,5082,6,0
2003,793,1041,4064,5084,6,0
2003,793,1071,4066,5086,31,0
2003,793,1266,4067,5087,6,0
2003,793,1734,4068,5088,6,0
2003,793,1824,4070,5090,6,0
2003,1041,4,83,6892,6,0
2003,1041,81,581,6894,13,0
2003,1041,438,2440,6901,1,0
2003,1041,513,2813,6902,1,0
2003,1041,713,3790,6913,38,1
2003,1041,791,4057,6931,37,0
2003,1041,793,4064,6933,6,0
2003,1041,1078,4997,6949,135,0
2003,1041,1364,5020,6972,43,0
2003,1041,1367,5021,6973,11,0
2003,1041,1701,5040,6992,93,1
2003,1041,1713,5041,6993,113,0
2003,1041,1714,5042,6994,1,0
2003,1071,4,85,7060,6,0
2003,1071,81,582,7061,38,0
2003,1071,438,2441,7066,1,0
2003,1071,513,2814,7070,1,0
2003,1071,646,3466,7075,3,0
2003,1071,713,3805,7076,38,0
2003,1071,734,3821,7077,25,0
2003,1071,791,4059,7078,62,0
2003,1071,793,4066,7079,31,0
2003,1071,1078,5080,7080,160,2
2003,1071,1223,5082,7082,25,0
2003,1071,1334,5083,7083,25,0
2003,1071,1364,5084,7084,43,1
2003,1071,1367,5085,7085,11,1
2003,1071,1601,5086,7086,25,0
2003,1071,1692,5087,7087,25,0
2003,1071,1701,5088,7088,118,0
2003,1071,1713,5089,7089,113,6
2003,1071,1714,5090,7090,22,1
2003,1071,1727,5093,7093,25,0
2003,1071,1873,5095,7095,25,0
2003,1078,207,1337,7099,135,0
2003,1078,344,1948,7100,135,0
2003,1078,495,2701,7116,135,0
2003,1078,784,4037,7134,135,0
2003,1078,1041,4997,7165,135,0
2003,1078,1071,5080,7166,160,0
2003,1078,1266,5106,7174,135,0
2003,1078,1734,5131,7199,135,0
2003,1078,1824,5132,7200,135,0
2003,1223,1071,5082,8000,25,0
2003,1266,4,93,8291,6,0
2003,1266,81,589,8292,13,0
2003,1266,438,2454,8317,29,0
2003,1266,513,2823,8326,29,0
2003,1266,646,3469,8334,3,0
2003,1266,713,3806,8336,66,1
2003,1266,791,4060,8337,37,0
2003,1266,793,4067,8338,6,0
2003,1266,1078,5106,8349,135,0
2003,1266,1364,5559,8360,43,0
2003,1266,1367,5560,8361,11,1
2003,1266,1701,5569,8370,93,0
2003,1266,1713,5571,8372,113,0
2003,1266,1714,5572,8373,50,0
2003,1334,1071,5083,8745,25,0
2003,1364,207,1353,8962,43,0
2003,1364,344,1954,8966,43,0
2003,1364,495,2706,8969,43,0
2003,1364,784,4043,8970,43,0
2003,1364,1041,5020,8973,43,0
2003,1364,1071,5084,8974,43,0
2003,1364,1266,5559,8975,43,0
2003,1364,1734,5767,8984,43,0
2003,1364,1824,5768,8985,43,0
2003,1367,207,1354,9006,11,0
2003,1367,344,1955,9045,11,0
2003,1367,495,2707,9052,11,0
2003,1367,784,4044,9055,11,0
2003,1367,1041,5021,9068,11,0
2003,1367,1071,5085,9069,11,0
2003,1367,1266,5560,9071,11,0
2003,1367,1734,5806,9110,11,0
2003,1367,1824,5810,9114,11,0
2003,1601,1071,5086,10502,25,0
2003,1692,1071,5087,11013,25,0
2003,1701,207,1363,11090,93,0
2003,1701,344,1958,11092,93,0
2003,1701,495,2712,11107,93,0
2003,1701,784,4050,11118,93,0
2003,1701,1041,5040,11138,93,0
2003,1701,1071,5088,11139,118,0
2003,1701,1266,5569,11147,93,0
2003,1701,1734,6154,11167,93,0
2003,1701,1824,6155,11168,93,0
2003,1713,2,3,11170,113,0
2003,1713,207,1364,11171,113,0
2003,1713,344,1959,11172,113,0
2003,1713,495,2713,11173,113,0
2003,1713,784,4051,11174,113,0
2003,1713,1041,5041,11175,113,0
2003,1713,1071,5089,11176,113,0
2003,1713,1266,5571,11178,113,0
2003,1713,1734,6157,11179,113,0
2003,1713,1824,6158,11180,113,0
2003,1714,207,1365,11182,22,0
2003,1714,344,1960,11191,31,0
2003,1714,495,2714,11196,1,0
2003,1714,784,4052,11201,1,0
2003,1714,1041,5042,11203,1,0
2003,1714,1071,5090,11204,22,0
2003,1714,1266,5572,11207,50,0
2003,1714,1734,6159,11213,1,0
2003,1714,1824,6163,11217,22,0
2003,1727,1071,5093,11250,25,0
2003,1734,4,155,11273,6,0
2003,1734,81,606,11274,13,0
2003,1734,438,2468,11275,1,0
2003,1734,513,2834,11276,1,0
2003,1734,713,3817,11277,38,0
2003,1734,791,4061,11278,37,0
2003,1734,793,4068,11280,6,0
2003,1734,1078,5131,11282,135,0
2003,1734,1364,5767,11284,43,0
2003,1734,1367,5806,11285,11,0
2003,1734,1701,6154,11286,93,0
2003,1734,1713,6157,11287,113,0
2003,1734,1714,6159,11288,1,0
2003,1824,4,156,11896,6,0
2003,1824,81,609,11897,13,1
2003,1824,438,2483,11912,1,0
2003,1824,513,2846,11923,1,0
2003,1824,646,3490,11932,3,1
2003,1824,713,3820,11934,38,0
2003,1824,791,4063,11935,37,0
2003,1824,793,4070,11936,6,0
2003,1824,1078,5132,11942,135,2
2003,1824,1364,5768,11949,43,0
2003,1824,1367,5810,11950,11,0
2003,1824,1701,6155,11954,93,0
2003,1824,1713,6158,11956,113,0
2003,1824,1714,6163,11957,22,0
2003,1873,344,1966,12180,3,0
2003,1873,1071,5095,12185,25,0
2004,208,439,1307,1392,10,0
2004,208,514,1324,1409,10,0
2004,208,1715,1366,1451,10,0
2004,243,439,1461,1556,12,0
2004,243,514,1464,1559,12,0
2004,243,1715,1467,1562,12,0
2004,345,439,1924,2146,71,1
2004,345,514,1934,2156,71,2
2004,345,1715,1961,2183,71,5
2004,439,208,1307,2758,10,0
2004,439,243,1461,2765,12,0
2004,439,345,1924,2778,71,0
2004,439,1072,2442,2810,66,1
2004,439,1267,2455,2823,10,0
2004,439,1825,2484,2852,59,0
2004,514,208,1324,3242,10,0
2004,514,243,1464,3249,12,0
2004,514,345,1934,3260,71,1
2004,514,1072,2815,3287,66,0
2004,514,1267,2824,3296,10,0
2004,514,1825,2847,3319,59,0
2004,1072,439,2442,7067,66,2
2004,1072,514,2815,7071,66,0
2004,1072,1715,5091,7091,66,0
2004,1267,439,2455,8318,10,0
2004,1267,514,2824,8327,10,0
2004,1267,1715,5573,8374,10,0
2004,1715,208,1366,11183,10,0
2004,1715,243,1467,11185,12,0
2004,1715,345,1961,11192,71,1
2004,1715,1072,5091,11205,66,0
2004,1715,1267,5573,11208,10,0
2004,1715,1825,6164,11218,59,0
2004,1825,439,2484,11913,59,0
2004,1825,514,2847,11924,59,0
2004,1825,1715,6164,11958,59,2
2005,160,209,1026,1067,340,3
2005,160,244,1033,1074,464,2
2005,160,346,1038,1079,342,0
2005,160,576,1057,1098,462,4
2005,160,1073,1114,1155,340,0
2005,160,1268,1123,1164,336,4
2005,160,1826,1164,1205,340,0
2005,209,160,1026,1386,340,8
2005,209,440,1308,1393,1,0
2005,209,515,1325,1410,3,0
2005,209,1716,1367,1452,4,1
2005,244,160,1033,1554,464,3
2005,244,440,1462,1557,123,4
2005,244,515,1465,1560,127,2
2005,244,1716,1468,1563,128,12
2005,346,160,1038,2138,342,4
2005,346,440,1925,2147,2,0
2005,346,515,1935,2157,4,0
2005,346,1716,1962,2184,5,0
2005,440,209,1308,2759,1,0
2005,440,244,1462,2766,123,0
2005,440,346,1925,2779,2,0
2005,440,576,2426,2794,125,0
2005,440,1826,2485,2853,1,0
2005,515,209,1325,3243,3,0
2005,515,244,1465,3250,127,0
2005,515,346,1935,3261,4,0
2005,515,576,2801,3273,127,0
2005,515,1073,2816,3288,2,0
2005,515,1268,2825,3297,2,0
2005,515,1826,2848,3320,3,0
2005,576,160,1057,3677,462,15
2005,576,440,2426,3695,125,2
2005,576,515,2801,3704,127,5
2005,576,1716,3175,3738,128,2
2005,1073,160,1114,7062,340,2
2005,1073,515,2816,7072,2,0
2005,1073,1716,5092,7092,3,0
2005,1268,160,1123,8299,336,11
2005,1268,515,2825,8328,2,0
2005,1268,1716,5574,8375,3,0
2005,1716,209,1367,11184,4,1
2005,1716,244,1468,11186,128,2
2005,1716,346,1962,11193,5,0
2005,1716,576,3175,11197,128,0
2005,1716,1073,5092,11206,3,0
2005,1716,1268,5574,11209,3,0
2005,1716,1826,6165,11219,4,0
2005,1826,160,1164,11903,340,0
2005,1826,440,2485,11914,1,0
2005,1826,515,2848,11925,3,0
2005,1826,1716,6165,11959,4,0
2006,161,210,1027,1068,263,3
2006,161,245,1034,1075,381,0
2006,161,325,1035,1076,531,1
2006,161,347,1039,1080,262,0
2006,161,577,1058,1099,403,3
2006,161,1074,1115,1156,265,0
2006,161,1269,1124,1165,265,6
2006,161,1815,1161,1202,526,1
2006,161,1827,1165,1206,264,0
2006,210,161,1027,1387,263,11
2006,210,441,1309,1394,1,0
2006,210,516,1326,1411,1,0
2006,210,1875,1372,1457,255,1
2006,245,161,1034,1555,381,2
2006,245,441,1463,1558,132,1
2006,245,516,1466,1561,132,1
2006,245,1717,1469,1564,131,3
2006,245,1875,1470,1565,373,4
2006,325,161,1035,2030,531,1
2006,325,441,1834,2046,267,0
2006,325,516,1843,2055,266,0
2006,325,1717,1886,2098,266,0
2006,325,1875,1894,2106,523,2
2006,347,161,1039,2139,262,1
2006,347,441,1926,2148,1,0
2006,347,516,1936,2158,1,0
2006,347,1875,1967,2189,255,1
2006,441,210,1309,2760,1,0
2006,441,245,1463,2767,132,1
2006,441,325,1834,2768,267,0
2006,441,347,1926,2780,1,0
2006,441,577,2427,2795,141,1
2006,441,1074,2443,2811,1,0
2006,441,1269,2456,2824,1,0
2006,441,1815,2475,2843,262,0
2006,441,1827,2486,2854,1,0
2006,516,210,1326,3244,1,0
2006,516,245,1466,3251,132,0
2006,516,325,1843,3252,266,0
2006,516,347,1936,3262,1,0
2006,516,577,2802,3274,139,1
2006,516,1074,2817,3289,1,0
2006,516,1269,2826,3298,1,0
2006,516,1815,2839,3311,262,0
2006,516,1827,2849,3321,1,0
2006,577,161,1058,3678,403,5
2006,577,441,2427,3696,141,3
2006,577,516,2802,3705,139,5
2006,577,1717,3176,3739,140,3
2006,577,1875,3184,3747,396,2
2006,1074,161,1115,7063,265,2
2006,1074,441,2443,7068,1,0
2006,1074,516,2817,7073,1,0
2006,1074,1875,5096,7096,256,1
2006,1269,161,1124,8300,265,2
2006,1269,441,2456,8319,1,0
2006,1269,516,2826,8329,1,0
2006,1269,1875,5582,8383,257,15
2006,1717,245,1469,11187,131,1
2006,1717,325,1886,11189,266,0
2006,1717,577,3176,11198,140,0
2006,1717,1815,6161,11215,261,0
2006,1815,161,1161,11858,526,1
2006,1815,441,2475,11863,262,1
2006,1815,516,2839,11871,262,1
2006,1815,1717,6161,11889,261,0
2006,1815,1875,6213,11893,518,2
2006,1827,161,1165,11904,264,1
2006,1827,441,2486,11915,1,0
2006,1827,516,2849,11926,1,0
2006,1827,1875,6217,11964,256,0
2006,1875,210,1372,12191,255,0
2006,1875,245,1470,12197,373,1
2006,1875,325,1894,12198,523,0
2006,1875,347,1967,12201,255,0
2006,1875,577,3184,12213,396,0
2006,1875,1074,5096,12240,256,0
2006,1875,1269,5582,12245,257,4
2006,1875,1815,6213,12264,518,0
2006,1875,1827,6217,12267,256,0
2007,162,211,1028,1069,161,3
2007,162,326,1036,1077,360,1
2007,162,348,1040,1081,162,0
2007,162,578,1059,1100,200,1
2007,162,1075,1116,1157,163,3
2007,162,1270,1125,1166,161,1
2007,162,1816,1162,1203,338,0
2007,162,1828,1166,1207,162,0
2007,211,162,1028,1388,161,2
2007,211,1876,1373,1458,154,4
2007,326,162,1036,2031,360,1
2007,326,442,1835,2047,196,25
2007,326,517,1844,2056,185,1
2007,326,1718,1887,2099,15,0
2007,326,1876,1895,2107,359,3
2007,348,162,1040,2140,162,1
2007,348,1876,1968,2190,161,0
2007,442,326,1835,2769,196,1
2007,442,578,2428,2796,38,0
2007,442,1816,2476,2844,174,0
2007,517,326,1844,3253,185,0
2007,517,578,2803,3275,38,0
2007,517,1816,2840,3312,164,0
2007,578,162,1059,3679,200,1
2007,578,442,2428,3697,38,0
2007,578,517,2803,3706,38,2
2007,578,1718,3177,3740,15,0
2007,578,1876,3185,3748,198,5
2007,1075,162,1116,7064,163,2
2007,1075,1876,5097,7097,162,2
2007,1270,162,1125,8301,161,2
2007,1270,1876,5583,8384,160,9
2007,1718,326,1887,11190,15,0
2007,1718,578,3177,11199,15,0
2007,1718,1816,6162,11216,16,0
2007,1816,162,1162,11859,338,0
2007,1816,442,2476,11864,174,0
2007,1816,517,2840,11872,164,1
2007,1816,1718,6162,11890,16,0
2007,1816,1876,6214,11894,337,1
2007,1828,162,1166,11905,162,1
2007,1828,1876,6218,11965,161,0
2007,1876,211,1373,12192,154,2
2007,1876,326,1895,12199,359,1
2007,1876,348,1968,12202,161,0
2007,1876,578,3185,12214,198,1
2007,1876,1075,5097,12241,162,0
2007,1876,1270,5583,12246,160,3
2007,1876,1816,6214,12265,337,0
2007,1876,1828,6218,12268,161,0
2008,163,212,1029,1070,6,0
2008,163,327,1037,1078,21,0
2008,163,349,1041,1082,9,0
2008,163,579,1060,1101,9,0
2008,163,1076,1117,1158,9,0
2008,163,1271,1126,1167,9,0
2008,163,1817,1163,1204,24,0
2008,163,1829,1167,1208,9,0
2008,212,163,1029,1389,6,0
2008,212,1877,1374,1459,9,0
2008,327,163,1037,2032,21,0
2008,327,443,1836,2048,200,10
2008,327,518,1845,2057,198,0
2008,327,1877,1896,2108,24,0
2008,349,163,1041,2141,9,0
2008,349,443,1927,2149,7,0
2008,349,518,1937,2159,7,0
2008,349,1877,1969,2191,12,0
2008,443,327,1836,2770,200,2
2008,443,349,1927,2781,7,0
2008,443,1817,2477,2845,231,1
2008,443,1829,2487,2855,7,0
2008,518,327,1845,3254,198,0
2008,518,349,1937,3263,7,0
2008,518,1817,2841,3313,229,0
2008,518,1829,2850,3322,7,0
2008,579,163,1060,3680,9,0
2008,579,1877,3186,3749,12,0
2008,1076,163,1117,7065,9,0
2008,1076,1877,5098,7098,12,0
2008,1271,163,1126,8302,9,0
2008,1271,1877,5584,8385,12,1
2008,1817,163,1163,11860,24,0
2008,1817,443,2477,11865,231,8
2008,1817,518,2841,11873,229,1
2008,1817,1877,6215,11895,27,0
2008,1829,163,1167,11906,9,0
2008,1829,443,2487,11916,7,0
2008,1829,518,2850,11927,7,0
2008,1829,1877,6219,11966,12,0
2008,1877,212,1374,12193,9,0
2008,1877,327,1896,12200,24,0
2008,1877,349,1969,12203,12,0
2008,1877,579,3186,12215,12,0
2008,1877,1076,5098,12242,12,0
2008,1877,1271,5584,12247,12,1
2008,1877,1817,6215,12266,27,0
2008,1877,1829,6219,12269,12,0
2009,82,328,534,543,2,0
2009,82,427,542,551,2,0
2009,82,868,561,570,2,0
2009,82,1796,607,616,2,0
2009,82,1818,608,617,3,0
2009,213,444,1310,1395,95,0
2009,213,519,1327,1412,88,0
2009,328,82,534,2023,2,0
2009,328,444,1837,2049,259,27
2009,328,519,1846,2058,249,5
2009,328,647,1851,2063,3,0
2009,328,697,1852,2064,3,0
2009,328,1571,1876,2088,3,0
2009,350,444,1928,2150,88,1
2009,350,519,1938,2160,80,0
2009,427,82,542,2680,2,0
2009,427,444,2370,2702,305,4
