year,ikt_ID,jkt_ID,ijkt_ID,i2jkt_ID,exposure,count
2002,1,4,1,1,48,0
2002,1,144,3,3,57,0
2002,1,221,5,5,54,0
2002,1,265,7,7,48,0
2002,1,267,9,9,84,0
2002,1,324,11,11,39,0
2002,1,378,13,13,31,0
2002,1,494,15,15,49,0
2002,1,523,17,17,162,2
2002,1,754,19,19,52,0
2002,1,787,21,21,5,0
2002,1,886,22,22,68,0
2002,1,930,24,24,27,0
2002,1,1172,27,27,143,1
2002,1,1265,29,29,3,0
2002,1,1337,30,30,63,0
2002,1,1369,32,32,47,0
2002,1,1377,34,34,177,0
2002,1,1386,36,36,120,0
2002,1,1769,38,38,21,0
2002,1,1826,40,40,30,0
2002,1,1862,42,42,76,1
2002,1,1871,44,44,66,0
2002,1,2013,46,46,70,0
2002,1,2081,48,48,11,0
2002,1,2125,49,49,75,0
2002,1,2213,51,51,37,0
2002,1,2325,53,53,140,1
2002,1,2539,56,56,62,0
2002,1,2810,58,58,78,0
2002,1,2962,60,60,110,2
2002,1,2972,62,62,12,0
2002,1,2986,64,64,133,1
2002,1,3018,66,66,108,0
2002,1,3032,68,68,41,0
2002,1,3036,70,70,56,0
2002,1,3273,72,72,54,0
2002,1,3285,74,74,85,1
2002,1,3402,76,76,105,0
2002,1,3410,78,78,73,0
2002,4,1,1,92,25,0
2002,4,144,99,97,58,0
2002,4,221,101,99,55,0
2002,4,265,103,101,48,0
2002,4,267,105,103,85,0
2002,4,324,107,105,39,0
2002,4,378,109,107,33,1
2002,4,494,111,109,53,1
2002,4,523,113,111,161,0
2002,4,754,116,114,53,0
2002,4,787,118,116,5,0
2002,4,886,120,118,73,1
2002,4,930,122,120,30,1
2002,4,1172,125,123,142,0
2002,4,1265,127,125,3,0
2002,4,1337,128,126,64,0
2002,4,1369,130,128,47,0
2002,4,1377,132,130,178,0
2002,4,1386,134,132,125,3
2002,4,1769,136,134,23,0
2002,4,1826,138,136,31,0
2002,4,1862,140,138,77,0
2002,4,1871,142,140,69,2
2002,4,2013,145,143,73,0
2002,4,2081,147,145,11,0
2002,4,2125,148,146,76,0
2002,4,2213,150,148,37,0
2002,4,2325,152,150,140,0
2002,4,2539,157,155,65,0
2002,4,2810,159,157,78,0
2002,4,2962,161,159,111,2
2002,4,2972,163,161,12,0
2002,4,2986,165,163,133,1
2002,4,3018,168,166,114,1
2002,4,3032,170,168,43,1
2002,4,3036,172,170,60,0
2002,4,3273,174,172,54,0
2002,4,3285,176,174,85,1
2002,4,3402,178,176,105,0
2002,4,3410,180,178,75,1
2002,144,1,3,3576,15,0
2002,144,4,99,3578,36,0
2002,144,221,3713,3585,41,0
2002,144,265,3715,3587,37,0
2002,144,267,3717,3589,58,0
2002,144,324,3723,3595,31,0
2002,144,378,3726,3598,27,0
2002,144,494,3736,3606,39,0
2002,144,523,3742,3612,133,1
2002,144,754,3780,3649,40,1
2002,144,787,3783,3651,5,0
2002,144,886,3786,3653,57,0
2002,144,930,3794,3660,24,0
2002,144,1172,3836,3701,114,2
2002,144,1265,3846,3711,3,0
2002,144,1337,3852,3717,44,0
2002,144,1369,3861,3725,37,0
2002,144,1377,3863,3727,159,0
2002,144,1386,3865,3729,110,2
2002,144,1769,3881,3744,19,0
2002,144,1826,3890,3753,23,0
2002,144,1862,3892,3755,60,0
2002,144,1871,3896,3759,47,0
2002,144,2013,3922,3783,49,0
2002,144,2081,3929,3789,2,0
2002,144,2125,3930,3790,60,1
2002,144,2213,3940,3799,26,0
2002,144,2325,3953,3810,116,1
2002,144,2539,3965,3822,54,0
2002,144,2810,3992,3848,61,3
2002,144,2962,3997,3853,93,4
2002,144,2972,3999,3855,1,0
2002,144,2986,4010,3865,115,4
2002,144,3018,4018,3871,94,1
2002,144,3032,4024,3877,29,0
2002,144,3036,4026,3879,54,0
2002,144,3273,4034,3886,40,0
2002,144,3285,4037,3888,70,1
2002,144,3402,4042,3893,81,1
2002,144,3410,4044,3895,58,0
2002,221,1,5,5125,25,0
2002,221,4,101,5127,49,0
2002,221,144,3713,5135,58,0
2002,221,265,5341,5150,48,0
2002,221,267,5343,5152,85,0
2002,221,324,5345,5154,39,0
2002,221,378,5347,5156,32,0
2002,221,494,5350,5159,53,1
2002,221,523,5352,5161,161,0
2002,221,754,5356,5165,53,0
2002,221,787,5372,5179,5,0
2002,221,886,5381,5187,72,0
2002,221,930,5384,5189,29,0
2002,221,1172,5398,5203,142,0
2002,221,1265,5402,5206,3,0
2002,221,1337,5403,5207,65,1
2002,221,1369,5412,5215,47,0
2002,221,1377,5420,5223,178,0
2002,221,1386,5424,5227,123,1
2002,221,1769,5450,5253,23,0
2002,221,1826,5461,5264,31,0
2002,221,1862,5478,5280,77,0
2002,221,1871,5480,5282,67,0
2002,221,2013,5490,5290,73,0
2002,221,2081,5493,5292,11,0
2002,221,2125,5502,5301,76,0
2002,221,2213,5505,5303,37,0
2002,221,2325,5507,5305,140,0
2002,221,2539,5524,5321,65,0
2002,221,2810,5529,5326,79,1
2002,221,2962,5531,5328,110,1
2002,221,2972,5533,5330,12,0
2002,221,2986,5535,5332,133,1
2002,221,3018,5539,5335,114,1
2002,221,3032,5541,5337,42,0
2002,221,3036,5545,5341,60,0
2002,221,3273,5554,5349,55,1
2002,221,3285,5556,5351,84,0
2002,221,3402,5559,5354,105,0
2002,221,3410,5561,5356,74,0
2002,265,1,7,6155,25,0
2002,265,4,103,6157,48,0
2002,265,144,3715,6163,57,0
2002,265,221,5341,6165,54,0
2002,265,267,6351,6167,84,0
2002,265,324,6353,6169,39,0
2002,265,378,6355,6171,31,0
2002,265,494,6358,6174,52,0
2002,265,523,6360,6176,162,2
2002,265,754,6363,6179,52,0
2002,265,787,6366,6181,5,0
2002,265,886,6368,6183,71,0
2002,265,930,6371,6185,29,0
2002,265,1172,6376,6189,142,0
2002,265,1265,6378,6191,3,0
2002,265,1337,6379,6192,65,1
2002,265,1369,6382,6194,47,0
2002,265,1377,6384,6196,177,0
2002,265,1386,6386,6198,122,0
2002,265,1769,6389,6201,21,0
2002,265,1826,6391,6203,30,0
2002,265,1862,6393,6205,77,2
2002,265,1871,6395,6207,67,0
2002,265,2013,6398,6210,72,0
2002,265,2081,6400,6212,11,0
2002,265,2125,6401,6213,76,0
2002,265,2213,6404,6215,37,0
2002,265,2325,6406,6217,139,0
2002,265,2539,6412,6223,65,1
2002,265,2810,6414,6225,78,0
2002,265,2962,6416,6227,109,0
2002,265,2972,6418,6229,12,0
2002,265,2986,6420,6231,132,0
2002,265,3018,6423,6234,110,1
2002,265,3032,6425,6236,41,0
2002,265,3036,6427,6238,59,1
2002,265,3273,6430,6240,54,0
2002,265,3285,6432,6242,84,0
2002,265,3402,6434,6244,105,0
2002,265,3410,6436,6246,73,0
2002,267,1,9,6248,25,0
2002,267,4,105,6250,49,0
2002,267,144,3717,6271,58,0
2002,267,221,5343,6281,55,0
2002,267,265,6351,6287,48,0
2002,267,324,6438,6289,39,0
2002,267,378,6448,6298,32,0
2002,267,494,6459,6308,53,1
2002,267,523,6466,6315,161,0
2002,267,754,6507,6355,53,0
2002,267,787,6510,6357,5,0
2002,267,886,6530,6374,72,0
2002,267,930,6534,6378,29,0
2002,267,1172,6587,6426,143,1
2002,267,1265,6600,6436,3,0
2002,267,1337,6610,6442,65,1
2002,267,1369,6615,6446,47,0
2002,267,1377,6617,6448,178,0
2002,267,1386,6619,6450,122,0
2002,267,1769,6719,6536,23,0
