"year","exposure","count","ikt_ID","jkt_ID","ijkt_ID","i2jkt_ID"
2002,39,0,1,84,1,1
2002,162,2,1,206,3,3
2002,52,0,1,297,5,5
2002,47,0,1,409,7,7
2002,30,0,1,597,9,9
2002,76,1,1,627,11,11
2002,11,0,1,685,13,13
2002,37,0,1,702,14,14
2002,41,0,1,981,16,16
2002,85,1,1,1034,18,18
2002,26,1,84,1,1,632
2002,161,0,84,206,624,647
2002,53,0,84,297,639,662
2002,47,0,84,409,655,678
2002,32,1,84,597,669,692
2002,78,2,84,627,671,694
2002,11,0,84,685,683,706
2002,37,1,84,702,684,707
2002,42,0,84,981,708,731
2002,85,1,84,1034,729,752
2002,28,3,206,1,3,1418
2002,39,0,206,84,624,1420
2002,54,1,206,297,1235,1447
2002,48,1,206,409,1247,1459
2002,32,1,206,597,1253,1465
2002,89,12,206,627,1255,1467
2002,12,1,206,685,1269,1481
2002,37,0,206,702,1270,1482
2002,44,2,206,981,1286,1498
2002,106,22,206,1034,1301,1513
2002,25,0,297,1,5,2076
2002,39,0,297,84,639,2082
2002,159,1,297,206,1235,2084
2002,46,0,297,409,1691,2086
2002,31,0,297,597,1702,2097
2002,77,1,297,627,1709,2104
2002,11,0,297,685,1711,2106
2002,37,0,297,702,1712,2107
2002,42,1,297,981,1714,2109
2002,85,2,297,1034,1718,2113
2002,25,0,409,1,7,2782
2002,39,0,409,84,655,2789
2002,161,0,409,206,1247,2791
2002,53,0,409,297,1691,2793
2002,31,0,409,597,2290,2805
2002,78,1,409,627,2298,2813
2002,11,0,409,685,2300,2815
2002,37,0,409,702,2301,2816
2002,42,0,409,981,2303,2818
2002,84,0,409,1034,2307,2822
2002,25,0,597,1,9,3970
2002,39,0,597,84,669,3986
2002,162,1,597,206,1253,3988
2002,53,0,597,297,1702,3990
2002,48,1,597,409,2290,4014
2002,77,0,597,627,2974,4051
2002,11,0,597,685,2976,4053
2002,37,0,597,702,2977,4054
2002,42,0,597,981,2982,4059
