"year","exposure","count","ikt_ID","jkt_ID","ijkt_ID","i2jkt_ID"
2002,57,0,1,90,1,1
2002,68,0,1,595,3,3
2002,143,1,1,782,6,6
2002,3,0,1,810,8,8
2002,177,0,1,847,9,9
2002,120,0,1,850,11,11
2002,75,0,1,1315,13,13
2002,140,1,1,1431,15,15
2002,78,0,1,1722,18,18
2002,110,2,1,1816,20,20
2002,12,0,1,1826,22,22
2002,133,1,1,1840,24,24
2002,108,0,1,1857,26,26
2002,105,0,1,2017,28,28
2002,15,0,90,1,1,700
2002,31,0,90,223,727,702
2002,133,1,90,365,733,707
2002,40,1,90,523,749,722
2002,37,0,90,839,762,735
2002,23,0,90,1122,783,756
2002,60,0,90,1153,785,758
2002,2,0,90,1289,795,768
2002,26,0,90,1361,796,769
2002,29,0,90,1865,816,788
2002,70,1,90,1964,818,790
2002,58,0,223,90,727,1606
2002,72,0,223,595,1635,1651
2002,143,1,223,782,1643,1659
2002,3,0,223,810,1645,1661
2002,178,0,223,847,1646,1662
2002,122,0,223,850,1648,1664
2002,76,0,223,1315,1665,1678
2002,141,1,223,1431,1670,1683
2002,78,0,223,1722,1685,1696
2002,110,1,223,1816,1687,1698
2002,12,0,223,1826,1689,1700
2002,133,1,223,1840,1692,1702
2002,112,0,223,1857,1700,1709
2002,105,0,223,2017,1705,1714
2002,60,2,365,90,733,2450
2002,73,1,365,595,2330,2485
2002,149,7,365,782,2337,2491
2002,3,0,365,810,2340,2493
2002,180,2,365,847,2341,2494
2002,127,5,365,850,2343,2496
2002,77,1,365,1315,2353,2504
2002,147,7,365,1431,2355,2506
2002,82,4,365,1722,2362,2513
2002,117,8,365,1816,2364,2515
2002,12,0,365,1826,2368,2519
2002,136,4,365,1840,2370,2521
2002,118,5,365,1857,2378,2528
2002,113,8,365,2017,2382,2532
2002,59,1,523,90,749,3581
2002,72,0,523,595,3210,3589
2002,142,1,523,782,3220,3599
2002,3,0,523,810,3223,3601
2002,179,1,523,847,3226,3604
2002,123,1,523,850,3228,3606
2002,76,0,523,1315,3239,3614
2002,139,0,523,1431,3241,3616
2002,78,0,523,1722,3254,3628
2002,109,0,523,1816,3256,3630
2002,12,0,523,1826,3258,3632
2002,133,1,523,1840,3260,3634
2002,113,2,523,1857,3264,3637
2002,105,0,523,2017,3268,3641
2002,25,0,595,1,3,4092
2002,39,0,595,223,1635,4094
2002,162,1,595,365,2330,4096
2002,53,0,595,523,3210,4098
2002,47,0,595,839,3657,4100
2002,31,0,595,1122,3659,4102
2002,78,1,595,1153,3661,4104
2002,11,0,595,1289,3663,4106
2002,37,0,595,1361,3664,4107
2002,42,0,595,1865,3666,4109
2002,85,1,595,1964,3668,4111
2002,21,0,782,1,6,5457
2002,31,0,782,223,1643,5459
2002,129,9,782,365,2337,5462
2002,42,1,782,523,3220,5465
2002,37,0,782,839,4589,5469
2002,22,0,782,1122,4592,5472
2002,56,2,782,1153,4594,5474
2002,10,0,782,1289,4597,5477
2002,28,0,782,1361,4598,5478
2002,34,0,782,1865,4600,5480
2002,78,7,782,1964,4603,5483
2002,1,0,810,365,2340,5643
2002,1,0,810,523,3223,5644
2002,1,0,810,1122,4718,5645
2002,1,0,810,1153,4719,5646
2002,1,0,810,1964,4722,5647
2002,59,1,839,90,762,5853
2002,72,0,839,595,3657,5862
2002,143,1,839,782,4589,5873
2002,3,0,839,810,4717,5875
2002,178,0,839,847,4896,5879
2002,122,0,839,850,4898,5881
2002,76,0,839,1315,4907,5890
2002,140,0,839,1431,4909,5892
2002,78,0,839,1722,4922,5905
2002,109,0,839,1816,4924,5907
2002,12,0,839,1826,4926,5909
2002,133,1,839,1840,4928,5911
2002,113,0,839,1857,4931,5914
2002,106,1,839,2017,4936,5919
2002,10,0,847,1,9,5921
2002,23,1,847,223,1646,5923
2002,106,3,847,365,2341,5925
2002,25,0,847,523,3226,5927
2002,19,0,847,839,4896,5929
2002,16,0,847,1122,4938,5931
2002,42,1,847,1153,4941,5934
2002,21,0,847,1361,4943,5936
2002,17,0,847,1865,4945,5938
2002,57,2,847,1964,4947,5940
2002,10,0,850,1,11,5942
2002,20,0,850,223,1648,5944
2002,104,4,850,365,2343,5946
2002,24,2,850,523,3228,5948
2002,19,0,850,839,4898,5950
2002,15,0,850,1122,4949,5952
2002,40,0,850,1153,4952,5955
2002,22,1,850,1361,4954,5957
2002,15,0,850,1865,4956,5959
2002,56,4,850,1964,4959,5962
2002,58,0,1122,90,783,7846
2002,72,0,1122,595,3659,7865
2002,142,0,1122,782,4592,7890
2002,3,0,1122,810,4718,7892
2002,178,0,1122,847,4938,7896
2002,122,0,1122,850,4949,7898
2002,76,0,1122,1315,6014,7940
2002,140,0,1122,1431,6016,7942
2002,79,1,1122,1722,6043,7968
2002,109,0,1122,1816,6045,7970
2002,12,0,1122,1826,6047,7972
2002,133,1,1122,1840,6049,7974
2002,113,0,1122,1857,6052,7977
2002,105,0,1122,2017,6057,7982
2002,58,0,1153,90,785,8041
2002,73,1,1153,595,3661,8062
2002,145,3,1153,782,4594,8068
2002,3,0,1153,810,4719,8070
2002,179,1,1153,847,4941,8071
2002,122,0,1153,850,4952,8073
2002,76,0,1153,1315,6097,8076
2002,141,1,1153,1431,6099,8078
2002,78,0,1153,1722,6105,8084
2002,111,2,1153,1816,6107,8086
2002,12,0,1153,1826,6109,8088
2002,133,1,1153,1840,6112,8090
2002,113,0,1153,1857,6120,8097
2002,106,1,1153,2017,6122,8099
2002,1,0,1161,223,1650,8107
2002,1,0,1161,365,2347,8112
2002,1,0,1161,523,3231,8135
2002,1,0,1161,1153,6094,8193
2002,1,0,1161,1865,6166,8234
2002,1,0,1276,223,1660,8868
2002,1,0,1276,365,2352,8884
2002,1,0,1276,523,3234,8887
2002,1,0,1276,1153,6096,8906
2002,1,0,1276,1865,6464,8924
2002,2,0,1289,90,795,8929
2002,16,0,1289,595,3663,8930
2002,45,0,1289,782,4597,8931
2002,22,0,1289,1315,6470,8932
2002,19,0,1289,1431,6471,8933
2002,20,1,1289,1722,6472,8934
2002,18,0,1289,1816,6473,8935
2002,11,0,1289,1826,6474,8936
2002,35,0,1289,1840,6475,8937
2002,28,0,1289,1857,6476,8938
2002,27,0,1289,2017,6477,8939
2002,25,0,1315,1,13,9098
2002,39,0,1315,223,1665,9100
2002,163,2,1315,365,2353,9102
2002,53,0,1315,523,3239,9104
2002,48,1,1315,839,4907,9106
2002,31,0,1315,1122,6014,9108
2002,77,0,1315,1153,6097,9110
2002,11,0,1315,1289,6470,9112
2002,37,0,1315,1361,6511,9113
2002,42,0,1315,1865,6513,9115
2002,84,0,1315,1964,6515,9117
2002,58,0,1361,90,796,9435
2002,72,0,1361,595,3664,9485
2002,141,0,1361,782,4598,9492
2002,3,0,1361,810,4720,9494
2002,178,0,1361,847,4943,9495
2002,122,0,1361,850,4954,9497
2002,76,0,1361,1315,6511,9516
2002,140,0,1361,1431,6654,9518
2002,78,0,1361,1722,6669,9533
2002,109,0,1361,1816,6671,9535
2002,12,0,1361,1826,6681,9545
2002,132,0,1361,1840,6683,9547
2002,113,0,1361,1857,6690,9554
2002,105,0,1361,2017,6699,9563
2002,27,2,1431,1,15,9928
2002,40,1,1431,223,1670,9930
2002,165,6,1431,365,2355,9932
2002,52,0,1431,523,3241,9934
2002,46,0,1431,839,4909,9936
2002,31,0,1431,1122,6016,9938
2002,79,2,1431,1153,6099,9940
2002,12,1,1431,1289,6471,9942
2002,37,0,1431,1361,6654,9943
2002,42,1,1431,1865,6837,9945
2002,85,3,1431,1964,6839,9947
2002,26,1,1722,1,18,11964
2002,35,0,1722,223,1685,11966
2002,160,8,1722,365,2362,11968
2002,47,1,1722,523,3254,11970
2002,46,1,1722,839,4922,11972
2002,27,1,1722,1122,6043,11974
2002,65,0,1722,1153,6105,11976
2002,12,1,1722,1289,6472,11978
2002,32,0,1722,1361,6669,11979
2002,42,1,1722,1865,7300,11981
2002,78,0,1722,1964,7302,11983
2002,27,2,1816,1,20,12506
2002,39,0,1816,223,1687,12508
2002,170,10,1816,365,2364,12510
2002,53,0,1816,523,3256,12512
2002,46,0,1816,839,4924,12514
2002,31,0,1816,1122,6045,12516
2002,79,2,1816,1153,6107,12518
2002,11,0,1816,1289,6473,12520
2002,37,0,1816,1361,6671,12521
2002,42,1,1816,1865,7372,12523
2002,87,4,1816,1964,7374,12525
2002,2,0,1826,1,22,12603
2002,2,0,1826,223,1689,12605
2002,7,0,1826,365,2368,12610
2002,2,0,1826,523,3258,12627
2002,1,0,1826,839,4926,12641
2002,3,0,1826,1122,6047,12664
2002,5,0,1826,1153,6109,12666
2002,2,0,1826,1289,6474,12676
2002,4,0,1826,1361,6681,12677
2002,8,0,1826,1865,7385,12697
2002,3,0,1826,1964,7388,12700
2002,20,0,1840,1,24,12704
2002,31,1,1840,223,1692,12706
2002,124,5,1840,365,2370,12708
2002,37,0,1840,523,3260,12710
2002,41,2,1840,839,4928,12712
2002,21,0,1840,1122,6049,12714
2002,52,1,1840,1153,6112,12716
2002,11,0,1840,1289,6475,12718
2002,32,0,1840,1361,6683,12719
2002,34,0,1840,1865,7392,12721
2002,72,6,1840,1964,7394,12723
2002,1,0,1842,223,1694,12727
2002,1,0,1842,365,2372,12740
2002,1,0,1842,523,3262,12750
2002,1,0,1842,1153,6114,12761
2002,1,0,1842,1865,7396,12778
2002,26,1,1857,1,26,12827
2002,41,2,1857,223,1700,12829
2002,166,5,1857,365,2378,12831
2002,54,1,1857,523,3264,12833
2002,48,1,1857,839,4931,12835
2002,31,0,1857,1122,6052,12837
2002,79,2,1857,1153,6120,12839
2002,11,0,1857,1289,6476,12841
2002,37,0,1857,1361,6690,12842
2002,45,3,1857,1865,7410,12844
2002,86,2,1857,1964,7412,12846
2002,54,1,1865,90,816,12869
2002,72,0,1865,595,3666,12873
2002,128,0,1865,782,4600,12880
2002,3,0,1865,810,4721,12882
2002,166,0,1865,847,4945,12883
2002,119,2,1865,850,4956,12885
2002,70,0,1865,1315,6513,12889
2002,133,1,1865,1431,6837,12891
2002,78,1,1865,1722,7300,12899
2002,101,1,1865,1816,7372,12901
2002,12,0,1865,1826,7385,12903
2002,110,0,1865,1840,7392,12905
2002,112,1,1865,1857,7410,12908
2002,105,0,1865,2017,7415,12910
2002,59,1,1964,90,818,13579
2002,68,0,1964,595,3668,13618
2002,145,3,1964,782,4603,13624
2002,3,0,1964,810,4722,13626
2002,175,3,1964,847,4947,13627
2002,122,3,1964,850,4959,13629
2002,75,1,1964,1315,6515,13640
2002,141,3,1964,1431,6839,13642
2002,78,0,1964,1722,7302,13650
2002,111,3,1964,1816,7374,13652
2002,12,0,1964,1826,7388,13657
2002,136,4,1964,1840,7394,13659
2002,112,3,1964,1857,7412,13666
2002,107,2,1964,2017,7467,13671
2002,18,0,2017,1,28,13932
2002,35,0,2017,223,1705,13934
2002,121,6,2017,365,2382,13936
2002,43,1,2017,523,3268,13938
2002,38,2,2017,839,4936,13940
2002,21,0,2017,1122,6057,13942
2002,62,2,2017,1153,6122,13944
2002,10,0,2017,1289,6477,13946
2002,34,1,2017,1361,6699,13947
2002,33,0,2017,1865,7415,13949
2002,64,1,2017,1964,7467,13951
2003,27,0,2,91,2,2
2003,23,0,2,596,4,4
2003,2,0,2,761,5,5
2003,35,0,2,783,7,7
2003,61,0,2,848,10,10
2003,19,0,2,851,12,12
2003,25,0,2,1316,14,14
2003,29,0,2,1432,16,16
2003,1,0,2,1469,17,17
2003,36,0,2,1723,19,19
2003,30,0,2,1817,21,21
2003,4,0,2,1827,23,23
2003,77,0,2,1841,25,25
2003,29,0,2,1858,27,27
2003,30,0,2,2018,29,29
2003,20,0,4,224,63,63
2003,59,2,4,366,76,75
2003,8,0,4,524,83,82
2003,11,0,4,840,88,87
2003,11,0,4,1123,112,111
2003,56,4,4,1154,115,114
2003,25,1,4,1362,123,122
2003,24,0,4,1866,185,182
2003,33,0,4,1965,188,185
2003,1,0,48,1123,406,401
2003,1,0,48,1154,407,402
2003,2,0,48,1362,408,403
2003,1,0,72,1123,604,579
2003,1,0,72,1154,605,580
2003,2,0,72,1362,606,581
2003,9,1,79,224,632,605
2003,16,0,79,366,636,609
2003,1,0,79,524,648,621
2003,1,0,79,840,654,627
2003,2,0,79,1123,667,640
2003,8,1,79,1154,668,641
2003,6,0,79,1362,669,642
2003,1,0,79,1866,685,658
2003,6,0,79,1965,689,662
2003,3,0,91,2,2,701
2003,85,1,91,224,728,703
2003,135,1,91,366,734,708
2003,40,0,91,524,750,723
2003,60,1,91,840,763,736
2003,45,2,91,1123,784,757
2003,119,1,91,1154,786,759
2003,77,2,91,1362,797,770
2003,44,0,91,1866,817,789
2003,108,4,91,1965,819,791
2003,34,1,224,4,63,1598
2003,5,0,224,48,379,1599
2003,3,0,224,72,572,1604
2003,16,1,224,79,632,1605
2003,112,2,224,91,728,1607
2003,58,0,224,465,1605,1622
2003,45,0,224,543,1625,1641
2003,38,0,224,596,1636,1652
2003,24,0,224,658,1637,1653
2003,9,0,224,687,1638,1654
2003,74,0,224,761,1642,1658
2003,136,2,224,783,1644,1660
2003,184,4,224,848,1647,1663
2003,72,1,224,851,1649,1665
2003,91,1,224,1162,1651,1666
2003,48,0,224,1316,1666,1679
2003,38,1,224,1432,1671,1684
2003,2,0,224,1452,1672,1685
2003,4,0,224,1460,1673,1686
2003,80,0,224,1469,1674,1687
2003,42,0,224,1473,1675,1688
2003,45,0,224,1723,1686,1697
2003,34,0,224,1817,1688,1699
2003,97,0,224,1827,1690,1701
2003,99,1,224,1841,1693,1703
2003,98,2,224,1843,1695,1704
2003,42,0,224,1858,1701,1710
2003,113,2,224,2018,1706,1715
2003,34,0,366,4,76,2446
2003,5,0,366,48,388,2447
2003,3,0,366,72,578,2448
2003,27,0,366,79,636,2449
2003,112,2,366,91,734,2451
2003,68,4,366,465,2309,2464
2003,55,3,366,543,2320,2475
2003,37,1,366,596,2331,2486
2003,26,1,366,658,2332,2487
2003,9,0,366,687,2333,2488
2003,74,0,366,761,2336,2490
2003,137,4,366,783,2338,2492
2003,188,11,366,848,2342,2495
2003,74,3,366,851,2344,2497
2003,90,0,366,1162,2348,2500
2003,48,1,366,1316,2354,2505
2003,39,2,366,1432,2356,2507
2003,2,0,366,1452,2358,2509
2003,4,0,366,1460,2359,2510
2003,82,1,366,1469,2360,2511
2003,42,0,366,1473,2361,2512
2003,49,3,366,1723,2363,2514
2003,35,2,366,1817,2365,2516
2003,98,0,366,1827,2369,2520
2003,102,4,366,1841,2371,2522
2003,103,2,366,1843,2373,2523
2003,44,3,366,1858,2379,2529
2003,120,8,366,2018,2383,2533
2003,29,1,465,224,1605,3187
2003,93,7,465,366,2309,3211
2003,1,0,465,1123,2939,3250
2003,64,1,465,1154,2940,3251
2003,29,3,465,1362,2956,3267
2003,46,1,465,1965,2996,3306
2003,29,0,524,4,83,3575
2003,5,0,524,48,398,3578
2003,3,0,524,72,586,3579
2003,6,0,524,79,648,3580
2003,105,0,524,91,750,3582
2003,7,0,524,465,2919,3587
2003,3,0,524,543,3209,3588
2003,36,0,524,596,3211,3590
2003,16,0,524,658,3212,3591
2003,66,0,524,761,3214,3593
2003,124,0,524,783,3221,3600
2003,177,1,524,848,3227,3605
2003,70,0,524,851,3229,3607
2003,88,0,524,1162,3232,3609
2003,48,0,524,1316,3240,3615
2003,37,0,524,1432,3242,3617
2003,2,0,524,1452,3243,3618
2003,4,0,524,1460,3244,3619
2003,65,0,524,1469,3245,3620
2003,35,0,524,1473,3247,3621
2003,46,0,524,1723,3255,3629
2003,33,0,524,1817,3257,3631
2003,94,1,524,1827,3259,3633
2003,99,1,524,1841,3261,3635
2003,15,0,524,1843,3263,3636
2003,41,1,524,1858,3265,3638
2003,109,3,524,2018,3269,3642
2003,33,1,543,224,1625,3734
2003,93,3,543,366,2320,3756
2003,1,0,543,524,3209,3774
2003,1,0,543,840,3371,3785
2003,2,0,543,1123,3378,3792
2003,66,2,543,1154,3379,3793
2003,30,2,543,1362,3390,3804
2003,1,0,543,1866,3409,3823
2003,48,0,543,1965,3423,3837
2003,5,0,596,2,4,4093
2003,19,2,596,224,1636,4095
2003,63,0,596,366,2331,4097
2003,19,0,596,524,3211,4099
2003,12,0,596,840,3658,4101
2003,8,0,596,1123,3660,4103
2003,39,0,596,1154,3662,4105
2003,27,0,596,1362,3665,4108
2003,10,0,596,1866,3667,4110
2003,42,1,596,1965,3669,4112
2003,17,0,658,224,1637,4625
2003,40,0,658,366,2332,4637
2003,3,0,658,524,3212,4645
2003,7,0,658,840,4032,4647
2003,5,0,658,1123,4040,4654
2003,32,0,658,1154,4042,4656
2003,24,0,658,1362,4043,4657
2003,20,0,658,1866,4070,4683
2003,22,0,658,1965,4073,4686
2003,7,0,687,224,1638,4792
2003,23,0,687,366,2333,4797
2003,21,0,687,1154,4160,4849
2003,5,0,687,1362,4163,4852
2003,14,0,687,1965,4193,4880
2003,1,0,761,2,5,5320
2003,29,0,761,224,1642,5340
2003,56,0,761,366,2336,5344
2003,13,0,761,524,3214,5347
2003,30,1,761,840,4504,5370
2003,24,1,761,1123,4542,5408
2003,55,0,761,1154,4560,5426
2003,50,1,761,1362,4561,5427
2003,28,0,761,1866,4573,5438
2003,56,0,761,1965,4579,5444
2003,5,0,783,2,7,5458
2003,96,0,783,224,1644,5460
2003,198,4,783,366,2338,5463
2003,41,0,783,524,3221,5466
2003,63,2,783,840,4590,5470
2003,46,2,783,1123,4593,5473
2003,142,2,783,1154,4595,5475
2003,91,1,783,1362,4599,5479
2003,61,2,783,1866,4601,5481
2003,139,7,783,1965,4604,5484
2003,29,0,840,4,88,5847
2003,5,0,840,48,401,5850
2003,3,0,840,72,591,5851
2003,6,0,840,79,654,5852
2003,103,0,840,91,763,5854
2003,7,0,840,465,2932,5860
2003,3,0,840,543,3371,5861
2003,26,0,840,596,3658,5863
2003,18,0,840,658,4032,5864
2003,68,1,840,761,4504,5866
2003,121,2,840,783,4590,5874
2003,163,1,840,848,4897,5880
2003,65,0,840,851,4899,5882
2003,91,2,840,1162,4901,5884
2003,38,0,840,1316,4908,5891
2003,33,1,840,1432,4910,5893
2003,2,0,840,1452,4911,5894
2003,4,0,840,1460,4912,5895
2003,68,0,840,1469,4913,5896
2003,36,0,840,1473,4914,5897
2003,42,0,840,1723,4923,5906
2003,30,0,840,1817,4925,5908
2003,97,4,840,1827,4927,5910
2003,89,1,840,1841,4929,5912
2003,17,0,840,1843,4930,5913
2003,36,0,840,1858,4932,5915
2003,102,1,840,2018,4937,5920
2003,5,0,848,2,10,5922
2003,69,4,848,224,1647,5924
2003,148,8,848,366,2342,5926
2003,39,0,848,524,3227,5928
2003,48,3,848,840,4897,5930
2003,39,2,848,1123,4939,5932
2003,112,5,848,1154,4942,5935
2003,76,3,848,1362,4944,5937
2003,47,1,848,1866,4946,5939
2003,109,10,848,1965,4948,5941
2003,3,0,851,2,12,5943
2003,49,2,851,224,1649,5945
2003,94,2,851,366,2344,5947
2003,27,0,851,524,3229,5949
2003,36,1,851,840,4899,5951
2003,36,3,851,1123,4950,5953
2003,73,1,851,1154,4953,5956
2003,48,2,851,1362,4955,5958
2003,28,0,851,1866,4957,5960
2003,79,2,851,1965,4960,5963
2003,29,0,1123,4,112,7840
2003,5,0,1123,48,406,7843
2003,3,0,1123,72,604,7844
2003,6,0,1123,79,667,7845
2003,108,2,1123,91,784,7847
2003,7,0,1123,465,2939,7854
2003,3,0,1123,543,3378,7855
2003,33,0,1123,596,3660,7866
2003,18,0,1123,658,4040,7867
2003,67,0,1123,761,4542,7871
2003,125,3,1123,783,4593,7891
2003,167,1,1123,848,4939,7897
2003,69,1,1123,851,4950,7899
2003,90,1,1123,1162,5988,7915
2003,45,0,1123,1316,6015,7941
2003,36,1,1123,1432,6017,7943
2003,2,0,1123,1452,6018,7944
2003,4,0,1123,1460,6019,7945
2003,68,0,1123,1469,6020,7946
2003,36,0,1123,1473,6021,7947
2003,43,0,1123,1723,6044,7969
2003,32,0,1123,1817,6046,7971
2003,95,2,1123,1827,6048,7973
2003,95,2,1123,1841,6050,7975
2003,15,0,1123,1843,6051,7976
2003,42,0,1123,1858,6053,7978
2003,105,0,1123,2018,6058,7983
2003,36,3,1154,4,115,8037
2003,5,0,1154,48,407,8038
2003,3,0,1154,72,605,8039
2003,28,1,1154,79,668,8040
2003,109,0,1154,91,786,8042
2003,65,1,1154,465,2940,8048
2003,53,1,1154,543,3379,8055
2003,32,0,1154,596,3662,8063
2003,24,0,1154,658,4042,8064
2003,9,0,1154,687,4160,8065
2003,74,0,1154,761,4560,8067
2003,133,1,1154,783,4595,8069
2003,173,6,1154,848,4942,8072
2003,70,2,1154,851,4953,8074
2003,91,1,1154,1162,6095,8075
2003,49,1,1154,1316,6098,8077
2003,34,0,1154,1432,6100,8079
2003,2,0,1154,1452,6101,8080
2003,4,0,1154,1460,6102,8081
2003,81,1,1154,1469,6103,8082
2003,44,2,1154,1473,6104,8083
2003,44,1,1154,1723,6106,8085
2003,30,0,1154,1817,6108,8087
2003,98,1,1154,1827,6110,8089
2003,103,6,1154,1841,6113,8091
2003,107,7,1154,1843,6115,8092
2003,38,0,1154,1858,6121,8098
2003,111,1,1154,2018,6123,8100
2003,42,2,1162,224,1651,8108
2003,61,0,1162,366,2348,8113
2003,13,1,1162,524,3232,8136
2003,40,3,1162,840,4901,8157
2003,22,1,1162,1123,5988,8191
2003,62,1,1162,1154,6095,8194
2003,26,1,1162,1362,6134,8202
2003,19,1,1162,1866,6167,8235
2003,39,0,1162,1965,6172,8240
2003,5,0,1316,2,14,9099
2003,36,0,1316,224,1666,9101
2003,93,1,1316,366,2354,9103
2003,29,0,1316,524,3240,9105
2003,37,0,1316,840,4908,9107
2003,27,0,1316,1123,6015,9109
2003,53,1,1316,1154,6098,9111
2003,53,2,1316,1362,6512,9114
2003,23,0,1316,1866,6514,9116
2003,74,1,1316,1965,6516,9118
2003,34,1,1362,4,123,9431
2003,5,0,1362,48,408,9432
2003,3,0,1362,72,606,9433
2003,27,0,1362,79,669,9434
2003,114,4,1362,91,797,9436
2003,66,2,1362,465,2956,9463
2003,52,0,1362,543,3390,9475
