"group","year","female","age","rank","group_size","died","days_survived_this_year_this_group","gg_mean","gg_sd","gr_mean","gr_sd","sg_mean","sg_sd","sr_mean","sr_sd","f_mean","f_sd"
1,2002,1,32,0,35.80334728,0,365,-0.703612218,0.595514298,-0.095372487,0.318092226,-0.654385632,0.313464648,-0.0228169,0.23898935,-0.40832378,0.462560543
1,2003,1,33,0,28.18828452,1,51,-1.488366224,0.996778599,-0.064745437,0.343275284,-1.917352203,0.679542996,-1.011008041,0.404656123,-1.032652834,0.675530191
1,2016,2,5,0.134065939,18.34782609,1,171,-0.635148121,1.19463986,-0.00495469,0.324068132,0.776885648,0.690394933,0.388176267,0.404849951,-0.025101989,0.868839685
5,2002,3,28,0.400912511,30,0,365,0.118073769,0.925301269,0.063926461,0.327272619,0.147713003,0.802675253,0.048690906,0.460278764,-0.868069767,0.858040728
5,2003,3,29,0.459409105,30.04225352,0,365,0.626386774,0.371906648,-0.15348047,0.285485589,-0.459074771,0.340059922,-0.020556122,0.247041108,-1.394641711,0.648282878
5,2004,3,30,0.454075359,33.36315789,0,366,0.921128887,0.329746929,0.12388977,0.268864511,-0.511301831,0.265009432,-0.002149454,0.206063099,-1.164842419,0.517693974
5,2005,3,31,0.397502906,34.20114943,0,365,0.264264998,0.297474933,0.019701945,0.239838572,-0.924325078,0.27376141,-0.271743359,0.220689411,-2.124112417,0.528674958
5,2006,3,32,0.377620549,37.37423313,0,365,0.747933523,0.276479079,-0.102420114,0.234618696,-0.511246389,0.246016083,-0.041359549,0.19633897,-2.479776365,0.563189956
5,2007,3,33,0.326792184,31.3852459,0,365,0.073534146,0.467672816,0.090165662,0.275725692,-0.22770343,0.259098232,0.123431197,0.204044504,-1.533003368,0.560004853
5,2008,3,34,0.239307616,17.8375,0,366,-0.17693122,0.668996224,-0.243489024,0.297615756,-0.277433176,0.339170852,0.149917099,0.252369893,-1.34116476,0.646010413
5,2009,3,35,0.252286369,19.21518987,0,365,0.24366262,0.437981664,-0.213309999,0.27750761,-1.10984724,0.489628439,-0.462772047,0.311302304,-1.794641218,0.677811908
5,2010,3,36,0.252999722,19.92,0,365,-0.802009398,0.843536999,-0.381123503,0.300931966,-1.136288184,0.773886568,-0.601089599,0.448745978,-1.36846541,0.805043496
5,2011,3,37,0.201276791,22.3030303,0,365,-0.046111579,0.384412227,-0.337784209,0.258773679,-0.504911745,0.343182981,-0.124939328,0.24916797,-1.751364252,0.654827214
5,2012,3,38,0.188029239,23.41071429,0,366,-0.513117518,0.532884271,-0.42304095,0.286888116,-0.511591518,0.384468566,-0.14632081,0.274077729,-2.287470152,0.677672549
5,2013,3,39,0.287121222,18.83333333,1,105,0.086286911,0.966732507,-0.096557957,0.322613053,-1.421685995,0.722619284,-0.74914765,0.426064667,-1.304874392,0.812283481
11,2013,4,5,0.079209319,25.16666667,0,365,-0.689002216,1.164335748,-0.077434128,0.344009102,-0.78423534,0.705069941,-0.470491763,0.41321977,-0.615870663,0.807708669
11,2014,4,6,0.096442689,28.5,0,365,-0.162067613,1.357655004,-0.018407762,0.349424577,-0.42133228,0.934706477,-0.234443221,0.52439743,0.124861212,0.919527574
11,2015,4,7,0.086664971,25.66666667,0,365,-0.166020632,1.424413908,-0.018410142,0.344418531,-0.317952462,0.970715553,-0.16596866,0.543557127,-0.524037543,0.909181255
11,2016,4,8,0.117446677,25.58333333,0,366,-0.148420281,1.38745448,-0.012499389,0.350954036,-0.69197783,0.904000083,-0.375039534,0.501158957,-0.345338307,0.974661042
11,2017,4,9,0.18176655,26.53333333,0,365,1.17675559,0.478061389,0.07365198,0.296777152,-1.127579203,0.710864998,-0.667236937,0.400636622,-1.010199532,0.775998801
11,2018,4,10,0.249186209,24.96296296,0,365,0.50914681,0.745902042,-0.115236504,0.305609899,-0.100703954,0.693316767,-0.01210667,0.405269336,-0.90355226,0.819514183
11,2014,5,5,0.079377106,28.5,0,365,-0.164982613,1.37321651,-0.014243679,0.337291763,-0.267284791,0.962097141,-0.138873283,0.536857398,-0.048293763,0.90400323
11,2015,5,6,0.082070709,25.66666667,0,365,-0.132891485,1.375446452,-0.012354497,0.359985924,-0.319066884,0.946471935,-0.161282884,0.54170781,-0.116992756,0.894199358
11,2016,5,7,0.032652625,25.58333333,0,366,-0.150072497,1.357721898,-0.015168625,0.348400476,-0.476936345,0.906477467,-0.238805284,0.52106575,-0.096272735,0.930957165
11,2017,5,8,0.08189623,26.53333333,0,365,1.492889519,0.443954237,-0.043250672,0.306502166,0.238483128,0.50958894,0.085765778,0.320848911,-0.895842323,0.747221675
11,2018,5,9,0.028900477,24.96296296,0,365,-0.240511553,0.889248475,-0.002116405,0.314413406,-0.622788534,0.776013347,-0.297470972,0.45106509,-0.949972682,0.782638526
6,2004,6,5,0.19837415,10.81355932,0,366,0.629378253,0.586038692,-0.099533731,0.314786203,0.054681538,0.404038087,0.023369483,0.270607261,0.044019226,0.676255729
6,2005,6,6,0.276471769,14.42028986,0,365,0.931546813,0.364334338,0.359682298,0.278517046,0.224743292,0.333737897,0.047902224,0.246184082,0.289592144,0.625123597
6,2006,6,7,0.247357178,16.67105263,0,365,1.562477284,0.31065226,-0.037917609,0.268728395,0.518223597,0.312406315,0.237590169,0.236792748,-0.358145593,0.625820416
6,2007,6,8,0.272264715,18.66666667,0,365,1.669571384,0.297918387,0.236736159,0.25894838,0.638895707,0.2776734,0.277774588,0.218122424,-1.105633409,0.617970566
6,2008,6,9,0.256803703,17.01724138,0,366,1.871402851,0.444504486,0.215592793,0.312025324,0.597620219,0.3340659,0.357836468,0.24531905,0.454699866,0.586956267
6,2009,6,10,0.296287231,16.07017544,0,365,1.958020971,0.346190504,0.114473679,0.283539273,-0.340366455,0.466305495,-0.029191769,0.289148235,-0.262242936,0.650855869
6,2010,6,11,0.264049097,16,0,365,1.743890694,0.455466023,0.04072699,0.310821803,0.322983972,0.542090541,0.207411652,0.337550172,-1.157725555,0.754340934
6,2011,6,12,0.298842282,18.66666667,1,305,1.907923791,0.349068737,0.065249438,0.288967823,0.137036097,0.42884246,0.038837178,0.285230399,-0.179944706,0.709467209
3,2007,7,9,0.161706353,4.904761905,0,19,-0.255541453,1.299653716,-0.068106613,0.350820935,-0.302969622,0.860116317,-0.126603662,0.484440013,-0.313570852,0.945575849
5,2003,7,5,0.120597025,30.04225352,0,365,1.231190968,0.388850781,0.03017648,0.296180876,-0.670199009,0.35594003,-0.359669349,0.22850392,-0.152185193,0.580236571
5,2004,7,6,0.196087852,33.36315789,0,366,1.091405746,0.325520254,0.162670923,0.269847252,-0.504964215,0.257531619,-0.131143976,0.190439692,-1.024157175,0.505613689
