"group","year","female","age","rank","group_size","died","days_survived_this_year_this_group","gg_mean","gg_sd","gr_mean","gr_sd","sg_mean","sg_sd","sr_mean","sr_sd","f_mean","f_sd"
1,2002,1,32,0,35.80334728,0,365,-0.18134887,0.701440582,-0.116272947,0.461303447,-0.794053736,0.449611685,-0.339358329,0.240868911,0.505979974,0.634816891
1,2003,1,33,0,28.18828452,1,51,NA,NA,NA,NA,-1.214037082,0.665858234,-0.585340566,0.333942653,-0.550968913,0.901960513
1,2016,2,5,0.134065939,18.34782609,1,171,-0.161856573,0.670049717,-0.071189266,0.451940852,0.547236063,0.67941241,0.260505794,0.344465486,0.176597819,0.932629482
5,2002,3,28,0.400912511,30,0,365,-0.39993695,0.638370849,-0.232563924,0.424598989,0.189006524,0.765940699,0.086139558,0.381442873,-0.147176439,0.979952136
5,2003,3,29,0.459409105,30.04225352,0,365,-0.578369732,0.481706388,-0.35784239,0.344121804,-0.737836976,0.413130642,-0.311724316,0.221397723,0.105718594,0.810675836
5,2004,3,30,0.454075359,33.36315789,0,366,0.183170016,0.421973612,0.117684554,0.321306485,-0.843356969,0.364779345,-0.380427508,0.203368501,-0.289162696,0.703078504
5,2005,3,31,0.397502906,34.20114943,0,365,-0.579996228,0.400321725,-0.204251693,0.300573922,-1.054398796,0.384369275,-0.472677726,0.210106742,-0.874943104,0.74071221
5,2006,3,32,0.377620549,37.37423313,0,365,-0.433849616,0.398604098,-0.216660443,0.304346622,-0.499552242,0.331518192,-0.236921869,0.188192996,-0.764420706,0.721298606
5,2007,3,33,0.326792184,31.3852459,0,365,-0.120011277,0.547679052,-0.03043632,0.379450442,-0.64543236,0.372745636,-0.30365701,0.204792204,-0.333161201,0.734397114
5,2008,3,34,0.239307616,17.8375,0,366,-1.070382266,0.53423472,-0.658816889,0.374330023,-0.842156089,0.380070492,-0.338663112,0.212338742,-0.413445501,0.714107311
5,2009,3,35,0.252286369,19.21518987,0,365,-1.050206098,0.46501011,-0.612863182,0.344682479,-1.200342683,0.501220254,-0.561545006,0.259592999,-1.291685693,0.8102104
5,2010,3,36,0.252999722,19.92,0,365,-1.046417062,0.542494304,-0.689460731,0.382779895,-1.025083341,0.692111813,-0.493230296,0.345070458,-0.185518912,0.914747884
5,2011,3,37,0.201276791,22.3030303,0,365,-0.898685299,0.411127255,-0.45379234,0.31273294,-0.546663446,0.392892973,-0.257262647,0.216799133,-0.252707093,0.761105753
5,2012,3,38,0.188029239,23.41071429,0,366,-1.171145737,0.476000325,-0.710648677,0.340730164,-1.216616792,0.517053349,-0.574822053,0.271920241,-0.750230793,0.813784857
5,2013,3,39,0.287121222,18.83333333,1,105,-0.149453661,0.633272726,-0.10059249,0.423498281,-1.169020731,0.67112429,-0.560893335,0.335885876,-0.447269059,0.927356289
11,2013,4,5,0.079209319,25.16666667,0,365,NA,NA,NA,NA,-0.44060088,0.702113591,-0.226230328,0.355408882,0.142966135,0.984913014
