"group","year","female","age","rank","group_size","died","days_survived_this_year_this_group","gg_mean","gg_sd","gr_mean","gr_sd","sg_mean","sg_sd","sr_mean","sr_sd","f_mean","f_sd"
1,2002,1,32,0,35.80334728,0,365,-0.029897045,0.967962622,-0.034333866,0.816425468,-0.959503569,0.354693301,-0.452412006,0.235545729,0.669456466,0.495655257
1,2003,1,33,0,28.18828452,1,51,-0.329857364,0.899027468,-0.153327981,0.80001826,-1.552586227,0.613817934,-0.838304724,0.351249272,0.123141435,0.76595976
1,2016,2,5,0.134065939,18.34782609,1,171,-0.208733105,0.895724126,-0.098257402,0.80253947,-0.207993508,0.840572655,-0.116775079,0.470067938,-0.209050093,0.92180162
5,2002,3,28,0.400912511,30,0,365,-0.339257159,0.875596833,-0.22315731,0.774881038,-0.348389705,0.808672514,-0.191312585,0.454334963,-0.255341927,0.937685152
5,2003,3,29,0.459409105,30.04225352,0,365,-0.463752868,0.700956889,-0.587367146,0.69776178,-1.197524949,0.533149583,-0.643219985,0.318435582,-0.323715966,0.794941091
5,2004,3,30,0.454075359,33.36315789,0,366,-0.263529251,0.712663159,0.3498851,0.635460436,-1.031738685,0.357948963,-0.482365028,0.234539166,-0.351168803,0.589040021
5,2005,3,31,0.397502906,34.20114943,0,365,-1.460190632,0.696168326,-0.401003433,0.571821674,-1.555541132,0.366281924,-0.816110252,0.238781187,-0.659125064,0.608188751
5,2006,3,32,0.377620549,37.37423313,0,365,-0.462580423,0.48591738,-0.125467334,0.507088457,-1.502313154,0.368104783,-0.760431814,0.229959045,-1.402785206,0.647441861
5,2007,3,33,0.326792184,31.3852459,0,365,-0.602991279,0.597431015,0.113990643,0.562059112,-0.453850488,0.314028561,-0.122794989,0.212513674,-0.254629778,0.644448547
5,2008,3,34,0.239307616,17.8375,0,366,-0.946747657,0.691368655,0.306242267,0.639307096,-0.646288874,0.500693879,-0.292949506,0.299083701,-0.733670923,0.823046614
5,2009,3,35,0.252286369,19.21518987,0,365,-0.311695675,0.616904032,0.195691252,0.657555724,-1.132024883,0.587774308,-0.584027738,0.341221665,-0.482649329,0.817647732
