group,year,female,age,rank,group_size,died,days_survived_this_year_this_group,idx_groom,idx_support,idx_forage
1,2002,1,32,0,35.80334728,0,365,1,1,1
1,2003,1,33,0,28.18828452,1,51,2,2,2
1,2016,2,5,0.134065939,18.34782609,1,171,18,18,18
5,2002,3,28,0.400912511,30,0,365,42,42,42
5,2003,3,29,0.459409105,30.04225352,0,365,43,43,43
5,2004,3,30,0.454075359,33.36315789,0,366,44,44,44
5,2005,3,31,0.397502906,34.20114943,0,365,45,45,45
5,2006,3,32,0.377620549,37.37423313,0,365,46,46,46
5,2007,3,33,0.326792184,31.3852459,0,365,47,47,47
5,2008,3,34,0.239307616,17.8375,0,366,48,48,48
5,2009,3,35,0.252286369,19.21518987,0,365,49,49,49
5,2010,3,36,0.252999722,19.92,0,365,50,50,50
5,2011,3,37,0.201276791,22.3030303,0,365,51,51,51
5,2012,3,38,0.188029239,23.41071429,0,366,52,52,52
5,2013,3,39,0.287121222,18.83333333,1,105,53,53,53
11,2013,4,5,0.079209319,25.16666667,0,365,85,86,86
11,2014,4,6,0.096442689,28.5,0,365,86,87,87
11,2015,4,7,0.086664971,25.66666667,0,365,87,88,88
11,2016,4,8,0.117446677,25.58333333,0,366,88,89,89
11,2017,4,9,0.18176655,26.53333333,0,365,89,90,90
11,2018,4,10,0.249186209,24.96296296,0,365,90,91,91
11,2014,5,5,0.079377106,28.5,0,365,108,110,110
11,2015,5,6,0.082070709,25.66666667,0,365,109,111,111
11,2016,5,7,0.032652625,25.58333333,0,366,110,112,112
11,2017,5,8,0.08189623,26.53333333,0,365,111,113,113
11,2018,5,9,0.028900477,24.96296296,0,365,112,114,114
6,2004,6,5,0.19837415,10.81355932,0,366,220,224,226
6,2005,6,6,0.276471769,14.42028986,0,365,221,225,227
6,2006,6,7,0.247357178,16.67105263,0,365,222,226,228
6,2007,6,8,0.272264715,18.66666667,0,365,223,227,229
6,2008,6,9,0.256803703,17.01724138,0,366,224,228,230
6,2009,6,10,0.296287231,16.07017544,0,365,225,229,231
6,2010,6,11,0.264049097,16,0,365,226,230,232
6,2011,6,12,0.298842282,18.66666667,1,305,227,231,233
3,2007,7,9,0.161706353,4.904761905,0,19,235,239,241
5,2003,7,5,0.120597025,30.04225352,0,365,237,241,243
5,2004,7,6,0.196087852,33.36315789,0,366,238,242,244
5,2005,7,7,0.264566825,34.20114943,0,365,239,243,245
5,2006,7,8,0.324534104,37.37423313,0,365,240,244,246
5,2007,7,9,0.272314666,31.3852459,0,346,241,245,247
5,2008,7,10,0.315804473,17.8375,0,366,242,246,248
5,2009,7,11,0.296287227,19.21518987,0,365,243,247,249
5,2010,7,12,0.39367005,19.92,0,365,244,248,250
5,2011,7,13,0.469249118,22.3030303,0,365,245,249,251
5,2012,7,14,0.572084237,23.41071429,1,278,246,250,252
6,2014,8,5,0.125422527,22.15555556,0,365,252,256,258
6,2015,8,6,0.176950445,22.69387755,0,365,253,257,259
6,2016,8,7,0.207794616,23.7037037,0,366,254,258,260
6,2017,8,8,0.237500594,26.72727273,0,365,255,259,261
6,2018,8,9,0.251493335,27.25,0,365,256,260,262
6,2019,8,10,0.26709207,30.2962963,0,365,257,261,263
5,2002,9,8,0.748353097,30,0,365,284,288,290
5,2003,9,9,0.67844229,30.04225352,0,365,285,289,291
5,2004,9,10,0.579336525,33.36315789,0,366,286,290,292
5,2005,9,11,0.543058628,34.20114943,0,365,287,291,293
5,2006,9,12,0.57915306,37.37423313,0,365,288,292,294
5,2007,9,13,0.628662068,31.3852459,0,200,289,293,295
9,2007,9,13,0.606302296,12.40909091,0,165,290,294,296
9,2008,9,14,0.50062667,15.85555556,0,366,291,295,297
9,2009,9,15,0.514353974,18.92405063,0,365,292,296,298
9,2010,9,16,0.546244376,21.06896552,0,365,293,297,299
9,2011,9,17,0.640691943,23.73684211,0,365,294,298,300
9,2012,9,18,0.620568348,24.75925926,0,366,295,299,301
9,2013,9,19,0.644300241,26.4,0,365,296,300,302
9,2014,9,20,0.656556379,27.9,0,365,297,301,303
9,2015,9,21,0.657661796,26,1,295,298,302,304
10,2002,10,35,0.599756459,35.89767442,0,365,299,303,305
10,2003,10,36,0.690678237,36.8202765,0,365,300,304,306
10,2004,10,37,0.759596471,29.56989247,1,237,301,305,307
5,2007,11,5,0.244123621,31.3852459,0,365,307,311,313
5,2008,11,6,0.637505821,17.8375,0,366,308,312,314
5,2009,11,7,0.756247549,19.21518987,0,365,309,313,315
5,2010,11,8,0.828845639,19.92,0,365,310,314,316
5,2011,11,9,0.803829834,22.3030303,0,365,311,315,317
5,2012,11,10,0.788497374,23.41071429,0,366,312,316,318
5,2013,11,11,0.758065013,18.83333333,0,365,313,317,319
5,2014,11,12,0.769178119,16.55555556,0,365,314,318,320
5,2015,11,13,0.813089193,15.74285714,0,365,315,319,321
5,2016,11,14,0.711514834,11.88888889,0,366,316,320,322
5,2017,11,15,0.758836145,14.36,0,365,317,321,323
5,2018,11,16,0.8612047,16.33333333,0,365,318,322,324
5,2019,11,17,0.834820573,18.25,0,365,319,323,325
1,2002,12,9,0.516491501,35.80334728,0,365,320,324,326
1,2003,12,10,0.568087349,28.18828452,0,365,321,325,327
1,2004,12,11,0.475754939,17.22282609,0,366,322,326,328
1,2005,12,12,0.395957328,20.05128205,0,365,323,327,329
1,2006,12,13,0.393364814,22.12328767,0,365,324,328,330
1,2007,12,14,0.322757021,21.825,0,365,325,329,331
1,2008,12,15,0.369523879,22.63207547,0,366,326,330,332
1,2009,12,16,0.341033028,24.51351351,0,365,327,331,333
1,2010,12,17,0.371647553,26.5942029,0,365,328,332,334
1,2011,12,18,0.390231048,29.53968254,0,365,329,333,335
1,2012,12,19,0.44145287,30.08737864,0,290,330,334,336
