group,year,female,age,rank,group_size,died,days_survived_this_year_this_group,idx_groom,idx_support,idx_forage
1,2002,1,32,0,35.80334728,0,365,1,1,1
1,2003,1,33,0,28.18828452,1,51,2,2,2
1,2016,2,5,0.134065939,18.34782609,1,171,3,3,3
5,2002,3,28,0.400912511,30,0,365,20,21,21
5,2003,3,29,0.459409105,30.04225352,0,365,21,22,22
5,2004,3,30,0.454075359,33.36315789,0,366,22,23,23
5,2005,3,31,0.397502906,34.20114943,0,365,23,24,24
5,2006,3,32,0.377620549,37.37423313,0,365,24,25,25
5,2007,3,33,0.326792184,31.3852459,0,365,25,26,26
5,2008,3,34,0.239307616,17.8375,0,366,26,27,27
5,2009,3,35,0.252286369,19.21518987,0,365,27,28,28
5,2010,3,36,0.252999722,19.92,0,365,28,29,29
5,2011,3,37,0.201276791,22.3030303,0,365,29,30,30
5,2012,3,38,0.188029239,23.41071429,0,366,30,31,31
5,2013,3,39,0.287121222,18.83333333,1,105,31,32,32
11,2013,4,5,0.079209319,25.16666667,0,365,50,55,55
11,2014,4,6,0.096442689,28.5,0,365,51,56,56
11,2015,4,7,0.086664971,25.66666667,0,365,52,57,57
11,2016,4,8,0.117446677,25.58333333,0,366,53,58,58
11,2017,4,9,0.18176655,26.53333333,0,365,54,59,59
11,2018,4,10,0.249186209,24.96296296,0,365,55,60,60
11,2014,5,5,0.079377106,28.5,0,365,62,67,68
11,2015,5,6,0.082070709,25.66666667,0,365,63,68,69
11,2016,5,7,0.032652625,25.58333333,0,366,64,69,70
11,2017,5,8,0.08189623,26.53333333,0,365,65,70,71
11,2018,5,9,0.028900477,24.96296296,0,365,66,71,72
6,2004,6,5,0.19837415,10.81355932,0,366,133,147,150
6,2005,6,6,0.276471769,14.42028986,0,365,134,148,151
6,2006,6,7,0.247357178,16.67105263,0,365,135,149,152
6,2007,6,8,0.272264715,18.66666667,0,365,136,150,153
6,2008,6,9,0.256803703,17.01724138,0,366,137,151,154
6,2009,6,10,0.296287231,16.07017544,0,365,138,152,155
6,2010,6,11,0.264049097,16,0,365,139,153,156
6,2011,6,12,0.298842282,18.66666667,1,305,140,154,157
3,2007,7,9,0.161706353,4.904761905,0,19,141,155,158
5,2003,7,5,0.120597025,30.04225352,0,365,142,156,159
5,2004,7,6,0.196087852,33.36315789,0,366,143,157,160
5,2005,7,7,0.264566825,34.20114943,0,365,144,158,161
5,2006,7,8,0.324534104,37.37423313,0,365,145,159,162
5,2007,7,9,0.272314666,31.3852459,0,346,146,160,163
5,2008,7,10,0.315804473,17.8375,0,366,147,161,164
5,2009,7,11,0.296287227,19.21518987,0,365,148,162,165
5,2010,7,12,0.39367005,19.92,0,365,149,163,166
5,2011,7,13,0.469249118,22.3030303,0,365,150,164,167
5,2012,7,14,0.572084237,23.41071429,1,278,151,165,168
6,2014,8,5,0.125422527,22.15555556,0,365,152,166,169
6,2015,8,6,0.176950445,22.69387755,0,365,153,167,170
6,2016,8,7,0.207794616,23.7037037,0,366,154,168,171
6,2017,8,8,0.237500594,26.72727273,0,365,155,169,172
6,2018,8,9,0.251493335,27.25,0,365,156,170,173
5,2002,9,8,0.748353097,30,0,365,177,192,195
5,2003,9,9,0.67844229,30.04225352,0,365,178,193,196
5,2004,9,10,0.579336525,33.36315789,0,366,179,194,197
5,2005,9,11,0.543058628,34.20114943,0,365,180,195,198
5,2006,9,12,0.57915306,37.37423313,0,365,181,196,199
5,2007,9,13,0.628662068,31.3852459,0,200,182,197,200
9,2007,9,13,0.606302296,12.40909091,0,165,183,198,201
9,2008,9,14,0.50062667,15.85555556,0,366,184,199,202
9,2009,9,15,0.514353974,18.92405063,0,365,185,200,203
9,2010,9,16,0.546244376,21.06896552,0,365,186,201,204
9,2011,9,17,0.640691943,23.73684211,0,365,187,202,205
9,2012,9,18,0.620568348,24.75925926,0,366,188,203,206
9,2013,9,19,0.644300241,26.4,0,365,189,204,207
9,2014,9,20,0.656556379,27.9,0,365,190,205,208
9,2015,9,21,0.657661796,26,1,295,191,206,209
10,2003,10,36,0.690678237,36.8202765,0,365,192,208,211
5,2007,11,5,0.244123621,31.3852459,0,365,193,210,213
5,2008,11,6,0.637505821,17.8375,0,366,194,211,214
5,2009,11,7,0.756247549,19.21518987,0,365,195,212,215
5,2010,11,8,0.828845639,19.92,0,365,196,213,216
5,2011,11,9,0.803829834,22.3030303,0,365,197,214,217
5,2012,11,10,0.788497374,23.41071429,0,366,198,215,218
5,2013,11,11,0.758065013,18.83333333,0,365,199,216,219
5,2014,11,12,0.769178119,16.55555556,0,365,200,217,220
5,2015,11,13,0.813089193,15.74285714,0,365,201,218,221
5,2016,11,14,0.711514834,11.88888889,0,366,202,219,222
5,2017,11,15,0.758836145,14.36,0,365,203,220,223
5,2018,11,16,0.8612047,16.33333333,0,365,204,221,224
5,2019,11,17,0.834820573,18.25,0,365,205,222,225
1,2002,12,9,0.516491501,35.80334728,0,365,206,223,226
1,2003,12,10,0.568087349,28.18828452,0,365,207,224,227
1,2004,12,11,0.475754939,17.22282609,0,366,208,225,228
1,2005,12,12,0.395957328,20.05128205,0,365,209,226,229
1,2006,12,13,0.393364814,22.12328767,0,365,210,227,230
1,2007,12,14,0.322757021,21.825,0,365,211,228,231
1,2008,12,15,0.369523879,22.63207547,0,366,212,229,232
1,2009,12,16,0.341033028,24.51351351,0,365,213,230,233
1,2010,12,17,0.371647553,26.5942029,0,365,214,231,234
1,2011,12,18,0.390231048,29.53968254,0,365,215,232,235
1,2012,12,19,0.44145287,30.08737864,0,290,216,233,236
2,2012,12,19,0.812831615,6.666666667,0,76,217,234,237
2,2013,12,20,0.763374669,12.55555556,0,365,218,235,238
2,2014,12,21,0.806419865,14,0,365,219,236,239
