year,ikt_ID,jkt_ID,ijkt_ID,exposure,count
2002,1,4,1,519,1
2002,1,146,3,221,1
2002,1,223,5,435,1
2002,1,267,7,494,6
2002,1,269,9,492,2
2002,1,326,11,420,0
2002,1,380,13,477,4
2002,1,496,15,395,1
2002,1,525,17,456,4
2002,1,756,19,358,1
2002,1,789,21,120,0
2002,1,889,22,462,5
2002,1,933,24,419,2
2002,1,1176,27,354,2
2002,1,1270,29,8,0
2002,1,1342,30,421,0
2002,1,1374,32,456,2
2002,1,1382,34,145,2
2002,1,1391,36,160,1
2002,1,1775,38,508,0
2002,1,1832,40,429,1
2002,1,1868,42,458,2
2002,1,1877,44,425,2
2002,1,1881,46,2,0
2002,1,2020,47,488,11
2002,1,2075,49,2,0
2002,1,2088,50,182,1
2002,1,2132,51,501,1
2002,1,2220,53,438,1
2002,1,2333,55,470,0
2002,1,2551,58,451,0
2002,1,2824,60,415,2
2002,1,2976,62,488,4
2002,1,2986,64,59,1
2002,1,3000,66,372,3
2002,1,3012,68,2,0
2002,1,3032,69,504,3
2002,1,3046,71,387,1
2002,1,3050,73,384,2
2002,1,3287,75,388,0
2002,1,3299,77,419,2
2002,1,3416,79,344,2
2002,1,3424,81,405,0
2002,4,146,98,221,0
2002,4,223,100,421,2
2002,4,267,102,471,6
2002,4,269,104,469,2
2002,4,326,106,414,1
2002,4,380,108,469,5
2002,4,496,110,391,4
2002,4,525,112,449,2
2002,4,756,114,354,0
2002,4,789,116,98,0
2002,4,889,117,458,3
2002,4,933,119,405,1
2002,4,1176,122,340,6
2002,4,1270,124,5,0
2002,4,1342,125,415,1
2002,4,1374,127,448,2
2002,4,1382,129,168,0
2002,4,1391,131,177,2
2002,4,1775,133,492,4
2002,4,1832,135,414,0
2002,4,1868,137,444,1
2002,4,1877,139,420,4
2002,4,2020,142,466,8
2002,4,2088,144,170,3
2002,4,2132,145,503,6
2002,4,2220,147,426,0
2002,4,2333,149,467,6
2002,4,2551,152,429,3
2002,4,2824,154,404,2
2002,4,2976,156,481,7
2002,4,2986,158,64,0
2002,4,3000,160,368,3
2002,4,3032,163,494,5
2002,4,3046,165,386,0
2002,4,3050,167,379,1
2002,4,3287,169,374,4
2002,4,3299,171,411,0
2002,4,3416,173,324,2
2002,4,3424,175,388,4
2002,146,223,3791,200,1
2002,146,267,3793,230,1
2002,146,269,3795,228,3
2002,146,326,3801,167,1
2002,146,380,3804,228,1
2002,146,496,3814,173,2
2002,146,525,3819,209,3
2002,146,756,3857,137,0
2002,146,789,3860,42,0
