"group_idx","year","indivA","indivB","forage_exposure","forage"
1,2002,1,3,519,1
1,2002,1,29,221,1
1,2002,1,40,435,1
1,2002,1,47,494,6
1,2002,1,48,492,2
1,2002,1,53,420,0
1,2002,1,59,477,4
1,2002,1,75,395,1
1,2002,1,78,456,4
1,2002,1,101,358,1
1,2002,1,106,120,0
1,2002,1,125,462,5
1,2002,1,140,419,2
1,2002,1,174,354,2
1,2002,1,197,8,0
1,2002,1,216,421,0
1,2002,1,224,456,2
1,2002,1,225,145,2
1,2002,1,228,160,1
1,2002,1,287,508,0
1,2002,1,291,429,1
1,2002,1,294,458,2
1,2002,1,296,425,2
1,2002,1,297,2,0
1,2002,1,309,488,11
1,2002,1,319,2,0
1,2002,1,320,182,1
1,2002,1,327,501,1
1,2002,1,343,438,1
1,2002,1,359,470,0
1,2002,1,399,451,0
1,2002,1,433,415,2
1,2002,1,453,488,4
1,2002,1,455,59,1
1,2002,1,456,372,3
1,2002,1,460,2,0
1,2002,1,463,504,3
1,2002,1,465,387,1
1,2002,1,466,384,2
1,2002,1,513,388,0
1,2002,1,514,419,2
1,2002,1,538,344,2
1,2002,1,540,405,0
1,2002,3,29,221,0
1,2002,3,40,421,2
1,2002,3,47,471,6
1,2002,3,48,469,2
1,2002,3,53,414,1
1,2002,3,59,469,5
1,2002,3,75,391,4
1,2002,3,78,449,2
1,2002,3,101,354,0
1,2002,3,106,98,0
1,2002,3,125,458,3
1,2002,3,140,405,1
1,2002,3,174,340,6
1,2002,3,197,5,0
1,2002,3,216,415,1
1,2002,3,224,448,2
1,2002,3,225,168,0
1,2002,3,228,177,2
1,2002,3,287,492,4
1,2002,3,291,414,0
1,2002,3,294,444,1
1,2002,3,296,420,4
1,2002,3,297,0,NA
1,2002,3,309,466,8
1,2002,3,319,0,NA
1,2002,3,320,170,3
1,2002,3,327,503,6
1,2002,3,343,426,0
1,2002,3,359,467,6
1,2002,3,399,429,3
1,2002,3,433,404,2
1,2002,3,453,481,7
1,2002,3,455,64,0
1,2002,3,456,368,3
1,2002,3,460,0,NA
1,2002,3,463,494,5
1,2002,3,465,386,0
1,2002,3,466,379,1
1,2002,3,513,374,4
1,2002,3,514,411,0
1,2002,3,538,324,2
1,2002,3,540,388,4
1,2002,29,40,200,1
1,2002,29,47,230,1
1,2002,29,48,228,3
1,2002,29,53,167,1
1,2002,29,59,228,1
1,2002,29,75,173,2
1,2002,29,78,209,3
1,2002,29,101,137,0
1,2002,29,106,42,0
1,2002,29,125,200,2
1,2002,29,140,186,0
1,2002,29,174,138,2
1,2002,29,197,4,0
1,2002,29,216,193,4
1,2002,29,224,195,0
1,2002,29,225,112,0
1,2002,29,228,123,2
1,2002,29,287,230,1
1,2002,29,291,164,0
1,2002,29,294,194,1
1,2002,29,296,201,0
1,2002,29,297,0,NA
1,2002,29,309,272,2
1,2002,29,319,0,NA
1,2002,29,320,16,0
1,2002,29,327,230,4
1,2002,29,343,195,0
1,2002,29,359,201,1
1,2002,29,399,203,1
1,2002,29,433,161,0
1,2002,29,453,218,1
1,2002,29,455,1,0
1,2002,29,456,156,2
1,2002,29,460,0,NA
1,2002,29,463,227,0
1,2002,29,465,167,0
1,2002,29,466,193,0
1,2002,29,513,162,0
1,2002,29,514,181,1
1,2002,29,538,112,2
1,2002,29,540,171,1
1,2002,40,47,388,1
1,2002,40,48,397,3
1,2002,40,53,332,1
1,2002,40,59,378,0
1,2002,40,75,293,2
1,2002,40,78,372,1
1,2002,40,101,260,1
1,2002,40,106,84,0
1,2002,40,125,362,4
1,2002,40,140,323,1
1,2002,40,174,264,5
1,2002,40,197,7,0
1,2002,40,216,327,3
1,2002,40,224,363,2
1,2002,40,225,158,3
1,2002,40,228,173,0
1,2002,40,287,410,4
1,2002,40,291,335,1
1,2002,40,294,366,1
1,2002,40,296,336,2
1,2002,40,297,0,NA
1,2002,40,309,392,4
1,2002,40,319,0,NA
1,2002,40,320,101,1
1,2002,40,327,428,1
1,2002,40,343,343,0
1,2002,40,359,388,0
1,2002,40,399,354,1
1,2002,40,433,312,2
1,2002,40,453,402,2
1,2002,40,455,40,0
1,2002,40,456,296,1
1,2002,40,460,0,NA
1,2002,40,463,419,3
1,2002,40,465,293,2
1,2002,40,466,287,4
1,2002,40,513,289,3
1,2002,40,514,329,1
1,2002,40,538,246,0
1,2002,40,540,304,1
1,2002,47,48,443,8
1,2002,47,53,396,1
1,2002,47,59,431,4
1,2002,47,75,358,5
1,2002,47,78,426,2
1,2002,47,101,329,0
1,2002,47,106,100,0
1,2002,47,125,428,5
1,2002,47,140,383,6
1,2002,47,174,314,2
1,2002,47,197,3,0
1,2002,47,216,391,3
1,2002,47,224,430,0
1,2002,47,225,171,0
1,2002,47,228,185,1
1,2002,47,287,475,6
1,2002,47,291,390,3
1,2002,47,294,420,5
1,2002,47,296,391,7
1,2002,47,297,0,NA
1,2002,47,309,453,6
1,2002,47,319,0,NA
1,2002,47,320,142,1
1,2002,47,327,473,3
1,2002,47,343,404,1
1,2002,47,359,440,4
1,2002,47,399,411,4
1,2002,47,433,369,1
1,2002,47,453,458,6
1,2002,47,455,54,0
1,2002,47,456,347,4
1,2002,47,460,0,NA
1,2002,47,463,474,3
1,2002,47,465,355,0
1,2002,47,466,352,5
1,2002,47,513,353,2
1,2002,47,514,390,0
1,2002,47,538,306,4
1,2002,47,540,359,6
1,2002,48,53,386,5
1,2002,48,59,435,6
1,2002,48,75,357,4
1,2002,48,78,432,3
1,2002,48,101,329,0
1,2002,48,106,90,0
1,2002,48,125,427,3
1,2002,48,140,384,0
1,2002,48,174,333,3
1,2002,48,197,9,0
1,2002,48,216,381,9
1,2002,48,224,432,1
1,2002,48,225,183,0
1,2002,48,228,197,3
1,2002,48,287,475,4
1,2002,48,291,398,1
1,2002,48,294,424,1
1,2002,48,296,397,12
1,2002,48,297,1,0
1,2002,48,309,450,9
1,2002,48,319,1,0
1,2002,48,320,137,2
1,2002,48,327,477,6
1,2002,48,343,402,0
1,2002,48,359,435,7
1,2002,48,399,410,5
1,2002,48,433,377,4
1,2002,48,453,458,5
1,2002,48,455,46,0
1,2002,48,456,360,2
1,2002,48,460,1,0
1,2002,48,463,467,9
1,2002,48,465,365,1
1,2002,48,466,355,4
1,2002,48,513,358,4
1,2002,48,514,383,1
1,2002,48,538,313,2
1,2002,48,540,359,12
1,2002,53,59,375,0
1,2002,53,75,293,2
1,2002,53,78,365,2
1,2002,53,101,250,0
1,2002,53,106,64,0
1,2002,53,125,362,0
1,2002,53,140,319,3
1,2002,53,174,269,0
1,2002,53,197,5,0
1,2002,53,216,323,0
1,2002,53,224,356,0
1,2002,53,225,127,2
1,2002,53,228,142,1
1,2002,53,287,403,0
1,2002,53,291,326,1
1,2002,53,294,345,1
1,2002,53,296,328,1
1,2002,53,297,0,NA
1,2002,53,309,391,3
1,2002,53,319,0,NA
1,2002,53,320,128,0
1,2002,53,327,409,0
1,2002,53,343,336,1
1,2002,53,359,371,2
1,2002,53,399,352,0
1,2002,53,433,313,0
1,2002,53,453,392,1
1,2002,53,455,40,0
1,2002,53,456,289,1
1,2002,53,460,0,NA
1,2002,53,463,409,1
1,2002,53,465,287,0
1,2002,53,466,287,1
1,2002,53,513,287,2
1,2002,53,514,325,0
1,2002,53,538,241,3
1,2002,53,540,304,2
1,2002,59,75,334,4
1,2002,59,78,404,4
1,2002,59,101,307,0
1,2002,59,106,110,0
1,2002,59,125,418,0
1,2002,59,140,364,2
1,2002,59,174,287,1
1,2002,59,197,4,0
1,2002,59,216,371,3
1,2002,59,224,410,0
1,2002,59,225,171,0
1,2002,59,228,189,1
1,2002,59,287,458,3
1,2002,59,291,378,0
1,2002,59,294,400,3
1,2002,59,296,374,2
1,2002,59,297,2,0
1,2002,59,309,434,10
1,2002,59,319,2,0
1,2002,59,320,117,0
1,2002,59,327,467,3
1,2002,59,343,384,1
1,2002,59,359,420,1
1,2002,59,399,395,1
1,2002,59,433,362,2
1,2002,59,453,444,4
1,2002,59,455,38,0
1,2002,59,456,318,0
1,2002,59,460,2,0
1,2002,59,463,458,1
1,2002,59,465,345,0
1,2002,59,466,338,2
1,2002,59,513,323,11
1,2002,59,514,366,6
1,2002,59,538,273,0
1,2002,59,540,345,1
1,2002,75,78,320,18
1,2002,75,101,222,0
1,2002,75,106,71,0
1,2002,75,125,337,0
1,2002,75,140,284,6
1,2002,75,174,232,2
1,2002,75,197,5,0
1,2002,75,216,288,4
1,2002,75,224,328,1
1,2002,75,225,135,1
1,2002,75,228,153,0
1,2002,75,287,382,3
1,2002,75,291,297,0
1,2002,75,294,319,2
1,2002,75,296,293,2
1,2002,75,297,1,0
1,2002,75,309,351,3
1,2002,75,319,1,0
1,2002,75,320,83,0
1,2002,75,327,386,0
1,2002,75,343,303,4
1,2002,75,359,351,2
1,2002,75,399,313,1
1,2002,75,433,284,0
1,2002,75,453,362,2
1,2002,75,455,21,0
1,2002,75,456,257,0
1,2002,75,460,1,0
1,2002,75,463,383,3
1,2002,75,465,257,0
